"B18135_001E","B18135_001M","B18135_002E","B18135_002M","B18135_003E","B18135_003M","B18135_004E","B18135_004M","B18135_005E","B18135_005M","B18135_006E","B18135_006M","B18135_007E","B18135_007M","B18135_008E","B18135_008M","B18135_009E","B18135_009M","B18135_010E","B18135_010M","B18135_011E","B18135_011M","B18135_012E","B18135_012M","B18135_013E","B18135_013M","B18135_014E","B18135_014M","B18135_015E","B18135_015M","B18135_016E","B18135_016M","B18135_017E","B18135_017M","B18135_018E","B18135_018M","B18135_019E","B18135_019M","B18135_020E","B18135_020M","B18135_021E","B18135_021M","B18135_022E","B18135_022M","B18135_023E","B18135_023M","B18135_024E","B18135_024M","B18135_025E","B18135_025M","B18135_026E","B18135_026M","B18135_027E","B18135_027M","B18135_028E","B18135_028M","B18135_029E","B18135_029M","B18135_030E","B18135_030M","B18135_031E","B18135_031M","B18135_032E","B18135_032M","B18135_033E","B18135_033M","B18135_034E","B18135_034M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Under 19 years:","Margin of Error!!Total:!!Under 19 years:","Estimate!!Total:!!Under 19 years:!!With a disability:","Margin of Error!!Total:!!Under 19 years:!!With a disability:","Estimate!!Total:!!Under 19 years:!!With a disability:!!With health insurance coverage:","Margin of Error!!Total:!!Under 19 years:!!With a disability:!!With health insurance coverage:","Estimate!!Total:!!Under 19 years:!!With a disability:!!With health insurance coverage:!!With private health insurance coverage","Margin of Error!!Total:!!Under 19 years:!!With a disability:!!With health insurance coverage:!!With private health insurance coverage","Estimate!!Total:!!Under 19 years:!!With a disability:!!With health insurance coverage:!!With public health coverage","Margin of Error!!Total:!!Under 19 years:!!With a disability:!!With health insurance coverage:!!With public health coverage","Estimate!!Total:!!Under 19 years:!!With a disability:!!No health insurance coverage","Margin of Error!!Total:!!Under 19 years:!!With a disability:!!No health insurance coverage","Estimate!!Total:!!Under 19 years:!!No disability:","Margin of Error!!Total:!!Under 19 years:!!No disability:","Estimate!!Total:!!Under 19 years:!!No disability:!!With health insurance coverage:","Margin of Error!!Total:!!Under 19 years:!!No disability:!!With health insurance coverage:","Estimate!!Total:!!Under 19 years:!!No disability:!!With health insurance coverage:!!With private health insurance coverage","Margin of Error!!Total:!!Under 19 years:!!No disability:!!With health insurance coverage:!!With private health insurance coverage","Estimate!!Total:!!Under 19 years:!!No disability:!!With health insurance coverage:!!With public health coverage","Margin of Error!!Total:!!Under 19 years:!!No disability:!!With health insurance coverage:!!With public health coverage","Estimate!!Total:!!Under 19 years:!!No disability:!!No health insurance coverage","Margin of Error!!Total:!!Under 19 years:!!No disability:!!No health insurance coverage","Estimate!!Total:!!19 to 64 years:","Margin of Error!!Total:!!19 to 64 years:","Estimate!!Total:!!19 to 64 years:!!With a disability:","Margin of Error!!Total:!!19 to 64 years:!!With a disability:","Estimate!!Total:!!19 to 64 years:!!With a disability:!!With health insurance coverage:","Margin of Error!!Total:!!19 to 64 years:!!With a disability:!!With health insurance coverage:","Estimate!!Total:!!19 to 64 years:!!With a disability:!!With health insurance coverage:!!With private health insurance coverage","Margin of Error!!Total:!!19 to 64 years:!!With a disability:!!With health insurance coverage:!!With private health insurance coverage","Estimate!!Total:!!19 to 64 years:!!With a disability:!!With health insurance coverage:!!With public health coverage","Margin of Error!!Total:!!19 to 64 years:!!With a disability:!!With health insurance coverage:!!With public health coverage","Estimate!!Total:!!19 to 64 years:!!With a disability:!!No health insurance coverage","Margin of Error!!Total:!!19 to 64 years:!!With a disability:!!No health insurance coverage","Estimate!!Total:!!19 to 64 years:!!No disability:","Margin of Error!!Total:!!19 to 64 years:!!No disability:","Estimate!!Total:!!19 to 64 years:!!No disability:!!With health insurance coverage:","Margin of Error!!Total:!!19 to 64 years:!!No disability:!!With health insurance coverage:","Estimate!!Total:!!19 to 64 years:!!No disability:!!With health insurance coverage:!!With private health insurance coverage","Margin of Error!!Total:!!19 to 64 years:!!No disability:!!With health insurance coverage:!!With private health insurance coverage","Estimate!!Total:!!19 to 64 years:!!No disability:!!With health insurance coverage:!!With public health coverage","Margin of Error!!Total:!!19 to 64 years:!!No disability:!!With health insurance coverage:!!With public health coverage","Estimate!!Total:!!19 to 64 years:!!No disability:!!No health insurance coverage","Margin of Error!!Total:!!19 to 64 years:!!No disability:!!No health insurance coverage","Estimate!!Total:!!65 years and over:","Margin of Error!!Total:!!65 years and over:","Estimate!!Total:!!65 years and over:!!With a disability:","Margin of Error!!Total:!!65 years and over:!!With a disability:","Estimate!!Total:!!65 years and over:!!With a disability:!!With health insurance coverage:","Margin of Error!!Total:!!65 years and over:!!With a disability:!!With health insurance coverage:","Estimate!!Total:!!65 years and over:!!With a disability:!!With health insurance coverage:!!With private health insurance coverage","Margin of Error!!Total:!!65 years and over:!!With a disability:!!With health insurance coverage:!!With private health insurance coverage","Estimate!!Total:!!65 years and over:!!With a disability:!!With health insurance coverage:!!With public health coverage","Margin of Error!!Total:!!65 years and over:!!With a disability:!!With health insurance coverage:!!With public health coverage","Estimate!!Total:!!65 years and over:!!With a disability:!!No health insurance coverage","Margin of Error!!Total:!!65 years and over:!!With a disability:!!No health insurance coverage","Estimate!!Total:!!65 years and over:!!No disability:","Margin of Error!!Total:!!65 years and over:!!No disability:","Estimate!!Total:!!65 years and over:!!No disability:!!With health insurance coverage:","Margin of Error!!Total:!!65 years and over:!!No disability:!!With health insurance coverage:","Estimate!!Total:!!65 years and over:!!No disability:!!With health insurance coverage:!!With private health insurance coverage","Margin of Error!!Total:!!65 years and over:!!No disability:!!With health insurance coverage:!!With private health insurance coverage","Estimate!!Total:!!65 years and over:!!No disability:!!With health insurance coverage:!!With public health coverage","Margin of Error!!Total:!!65 years and over:!!No disability:!!With health insurance coverage:!!With public health coverage","Estimate!!Total:!!65 years and over:!!No disability:!!No health insurance coverage","Margin of Error!!Total:!!65 years and over:!!No disability:!!No health insurance coverage","id","Geographic Area Name"
"6912","81","1574","38","72","32","72","32","28","18","60","31","0","14","1502","46","1439","61","874","122","657","123","63","45","3887","51","552","95","512","91","265","64","294","73","40","29","3335","99","3123","114","2757","140","512","90","212","67","1451","69","426","73","426","73","303","67","426","73","0","14","1025","86","1025","86","714","106","1009","90","0","14","0500000US19001","Adair County, Iowa"
"3573","55","774","29","15","15","15","15","14","15","1","2","0","10","759","20","692","42","478","83","279","66","67","35","2000","34","182","45","173","46","94","33","88","29","9","9","1818","49","1658","69","1446","74","270","72","160","54","799","50","314","53","314","53","226","47","314","53","0","10","485","54","485","54","337","71","471","55","0","10","0500000US19003","Adams County, Iowa"
"13497","100","3300","38","71","41","71","41","33","27","38","32","0","16","3229","54","2864","205","1682","259","1294","244","365","200","7268","70","576","134","569","133","315","89","324","103","7","12","6692","147","5991","225","5205","295","997","249","701","155","2929","88","894","155","894","155","688","138","882","152","0","16","2035","156","2016","160","1399","162","1937","162","19","27","0500000US19005","Allamakee County, Iowa"
"12364","24","2873","82","242","102","242","102","63","46","185","97","0","16","2631","130","2282","206","1242","235","1166","224","349","148","6673","82","1017","189","942","184","341","93","724","175","75","54","5656","209","4908","322","3899","353","1198","211","748","237","2818","66","1000","136","1000","136","617","117","1000","136","0","16","1818","127","1818","127","1259","165","1806","128","0","16","0500000US19007","Appanoose County, Iowa"
"5407","63","1161","30","15","12","15","12","2","3","13","11","0","14","1146","32","1138","32","668","88","544","92","8","11","2988","31","352","86","345","85","156","53","211","71","7","5","2636","90","2416","127","2106","135","409","88","220","82","1258","61","340","77","340","77","164","55","340","77","0","14","918","80","918","80","633","86","899","82","0","14","0500000US19009","Audubon County, Iowa"
"25318","88","6297","63","173","77","173","77","73","32","147","74","0","18","6124","102","6065","106","4666","291","1808","275","59","31","14526","68","1148","185","1134","181","693","124","591","149","14","22","13378","197","12842","225","11627","266","1531","227","536","123","4495","77","1446","189","1446","189","971","184","1446","189","0","18","3049","187","3049","187","2150","202","2932","184","0","18","0500000US19011","Benton County, Iowa"
"130575","232","30611","257","1594","308","1579","305","532","154","1221","263","15","16","29017","345","28174","478","18353","743","11639","780","843","358","78844","310","8646","710","8154","662","3773","400","5202","519","492","232","70198","824","65738","952","57380","1053","10297","723","4460","499","21120","187","6869","508","6851","507","4456","414","6772","520","18","30","14251","512","14242","514","10620","587","13881","526","9","13","0500000US19013","Black Hawk County, Iowa"
"25998","143","5945","108","214","84","214","84","136","69","123","61","0","18","5731","137","5710","134","4364","304","1648","306","21","18","15476","94","1629","311","1581","313","871","178","935","267","48","39","13847","324","13111","379","11859","444","1527","285","736","208","4577","89","1531","167","1531","167","892","135","1531","167","0","18","3046","168","3041","170","2215","190","2938","173","5","8","0500000US19015","Boone County, Iowa"
"24703","128","6062","127","384","129","375","128","281","118","184","90","9","10","5678","170","5586","174","4596","219","1385","207","92","83","13905","135","1091","185","1008","163","726","129","463","113","83","59","12814","216","12216","261","11345","307","1218","205","598","174","4736","126","1259","151","1258","151","967","139","1258","151","1","2","3477","167","3477","167","2754","183","3408","172","0","18","0500000US19017","Bremer County, Iowa"
