,name,label,concept,geography
1,B18102_001,Estimate!!Total:,SEX BY AGE BY HEARING DIFFICULTY,tract
2,B18102_002,Estimate!!Total:!!Male:,SEX BY AGE BY HEARING DIFFICULTY,tract
3,B18102_003,Estimate!!Total:!!Male:!!Under 5 years:,SEX BY AGE BY HEARING DIFFICULTY,tract
4,B18102_004,Estimate!!Total:!!Male:!!Under 5 years:!!With a hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
5,B18102_005,Estimate!!Total:!!Male:!!Under 5 years:!!No hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
6,B18102_006,Estimate!!Total:!!Male:!!5 to 17 years:,SEX BY AGE BY HEARING DIFFICULTY,tract
7,B18102_007,Estimate!!Total:!!Male:!!5 to 17 years:!!With a hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
8,B18102_008,Estimate!!Total:!!Male:!!5 to 17 years:!!No hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
9,B18102_009,Estimate!!Total:!!Male:!!18 to 34 years:,SEX BY AGE BY HEARING DIFFICULTY,tract
10,B18102_010,Estimate!!Total:!!Male:!!18 to 34 years:!!With a hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
11,B18102_011,Estimate!!Total:!!Male:!!18 to 34 years:!!No hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
12,B18102_012,Estimate!!Total:!!Male:!!35 to 64 years:,SEX BY AGE BY HEARING DIFFICULTY,tract
13,B18102_013,Estimate!!Total:!!Male:!!35 to 64 years:!!With a hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
14,B18102_014,Estimate!!Total:!!Male:!!35 to 64 years:!!No hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
15,B18102_015,Estimate!!Total:!!Male:!!65 to 74 years:,SEX BY AGE BY HEARING DIFFICULTY,tract
16,B18102_016,Estimate!!Total:!!Male:!!65 to 74 years:!!With a hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
17,B18102_017,Estimate!!Total:!!Male:!!65 to 74 years:!!No hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
18,B18102_018,Estimate!!Total:!!Male:!!75 years and over:,SEX BY AGE BY HEARING DIFFICULTY,tract
19,B18102_019,Estimate!!Total:!!Male:!!75 years and over:!!With a hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
20,B18102_020,Estimate!!Total:!!Male:!!75 years and over:!!No hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
21,B18102_021,Estimate!!Total:!!Female:,SEX BY AGE BY HEARING DIFFICULTY,tract
22,B18102_022,Estimate!!Total:!!Female:!!Under 5 years:,SEX BY AGE BY HEARING DIFFICULTY,tract
23,B18102_023,Estimate!!Total:!!Female:!!Under 5 years:!!With a hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
24,B18102_024,Estimate!!Total:!!Female:!!Under 5 years:!!No hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
25,B18102_025,Estimate!!Total:!!Female:!!5 to 17 years:,SEX BY AGE BY HEARING DIFFICULTY,tract
26,B18102_026,Estimate!!Total:!!Female:!!5 to 17 years:!!With a hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
27,B18102_027,Estimate!!Total:!!Female:!!5 to 17 years:!!No hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
28,B18102_028,Estimate!!Total:!!Female:!!18 to 34 years:,SEX BY AGE BY HEARING DIFFICULTY,tract
29,B18102_029,Estimate!!Total:!!Female:!!18 to 34 years:!!With a hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
30,B18102_030,Estimate!!Total:!!Female:!!18 to 34 years:!!No hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
31,B18102_031,Estimate!!Total:!!Female:!!35 to 64 years:,SEX BY AGE BY HEARING DIFFICULTY,tract
32,B18102_032,Estimate!!Total:!!Female:!!35 to 64 years:!!With a hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
33,B18102_033,Estimate!!Total:!!Female:!!35 to 64 years:!!No hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
34,B18102_034,Estimate!!Total:!!Female:!!65 to 74 years:,SEX BY AGE BY HEARING DIFFICULTY,tract
35,B18102_035,Estimate!!Total:!!Female:!!65 to 74 years:!!With a hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
36,B18102_036,Estimate!!Total:!!Female:!!65 to 74 years:!!No hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
37,B18102_037,Estimate!!Total:!!Female:!!75 years and over:,SEX BY AGE BY HEARING DIFFICULTY,tract
38,B18102_038,Estimate!!Total:!!Female:!!75 years and over:!!With a hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
39,B18102_039,Estimate!!Total:!!Female:!!75 years and over:!!No hearing difficulty,SEX BY AGE BY HEARING DIFFICULTY,tract
