"Substate Region","State","Small Area Estimate","95% CI (Lower)","95% CI (Upper)","County"
"Central","Iowa","6.33%","4.82%","8.27%","Jasper"
"Central","Iowa","6.33%","4.82%","8.27%","Marion"
"Central","Iowa","6.33%","4.82%","8.27%","Polk "
"Central","Iowa","6.33%","4.82%","8.27%","Warren "
"North Central","Iowa","5.72%","4.32%","7.54%","Boone"
"North Central","Iowa","5.72%","4.32%","7.54%","Cerro Gordo"
"North Central","Iowa","5.72%","4.32%","7.54%","Floyd"
"North Central","Iowa","5.72%","4.32%","7.54%","Franklin"
"North Central","Iowa","5.72%","4.32%","7.54%","Hancock"
"North Central","Iowa","5.72%","4.32%","7.54%","Hardin"
"North Central","Iowa","5.72%","4.32%","7.54%","Kossuth"
"North Central","Iowa","5.72%","4.32%","7.54%","Marshall"
"North Central","Iowa","5.72%","4.32%","7.54%","Mitchell"
"North Central","Iowa","5.72%","4.32%","7.54%","Poweshiek"
"North Central","Iowa","5.72%","4.32%","7.54%","Story"
"North Central","Iowa","5.72%","4.32%","7.54%","Tama"
"North Central","Iowa","5.72%","4.32%","7.54%","Winnebago"
"North Central","Iowa","5.72%","4.32%","7.54%","Worth"
"Northeast","Iowa","5.45%","4.12%","7.19%","Allamakee"
"Northeast","Iowa","5.45%","4.12%","7.19%","Benton"
"Northeast","Iowa","5.45%","4.12%","7.19%","Black Hawk"
"Northeast","Iowa","5.45%","4.12%","7.19%","Bremer"
"Northeast","Iowa","5.45%","4.12%","7.19%","Buchanan"
"Northeast","Iowa","5.45%","4.12%","7.19%","Butler"
"Northeast","Iowa","5.45%","4.12%","7.19%","Chickasaw"
"Northeast","Iowa","5.45%","4.12%","7.19%","Clayton"
"Northeast","Iowa","5.45%","4.12%","7.19%","Clinton"
"Northeast","Iowa","5.45%","4.12%","7.19%","Delaware"
"Northeast","Iowa","5.45%","4.12%","7.19%","Dubuque"
"Northeast","Iowa","5.45%","4.12%","7.19%","Fayette"
"Northeast","Iowa","5.45%","4.12%","7.19%","Grundy"
"Northeast","Iowa","5.45%","4.12%","7.19%","Howard"
"Northeast","Iowa","5.45%","4.12%","7.19%","Jackson"
"Northeast","Iowa","5.45%","4.12%","7.19%","Jones"
"Northeast","Iowa","5.45%","4.12%","7.19%","Linn"
"Northeast","Iowa","5.45%","4.12%","7.19%","Winneshiek"
"Northwest","Iowa","4.93%","3.68%","6.56%","Audubon"
"Northwest","Iowa","4.93%","3.68%","6.56%","Buena Vista"
"Northwest","Iowa","4.93%","3.68%","6.56%","Calhoun"
"Northwest","Iowa","4.93%","3.68%","6.56%","Carroll"
"Northwest","Iowa","4.93%","3.68%","6.56%","Cherokee"
"Northwest","Iowa","4.93%","3.68%","6.56%","Clay"
"Northwest","Iowa","4.93%","3.68%","6.56%","Crawford"
"Northwest","Iowa","4.93%","3.68%","6.56%","Dickinson"
"Northwest","Iowa","4.93%","3.68%","6.56%","Emmet"
"Northwest","Iowa","4.93%","3.68%","6.56%","Greene"
"Northwest","Iowa","4.93%","3.68%","6.56%","Guthrie"
"Northwest","Iowa","4.93%","3.68%","6.56%","Hamilton"
