FISCAL YEAR,COUNTY NUMBER,County,PUBLIC SAFETY AND LEGAL SERVICES,PHYSICAL HEALTH SOCIAL SERVICES,"MENTAL HEALTH, ID & DD",COUNTY ENVIRONMENT AND EDUCATION,ROADS & TRANSPORTATION,GOVERNMENT SERVICES TO RESIDENTS,ADMINISTRATION,NONPROGRAM CURRENT,DEBT SERVICE,CAPITAL PROJECTS,SUBTOTAL EXPENDITURES,OPERATING TRANSFERS OUT,REFUNDED DEBT/PAYMENTS TO ESCROW,TOTAL EXPENDITURES & OTHER USES,Primary County Coordinates
2010,1,ADAIR,926972,279285,740324,356140,3277161,255831,645269,0,3180,258168,6742330,1049063,0,7791393,POINT (-94.4709413 41.3307464)
2011,1,ADAIR,1042070,242722,819689,391168,4393432,265146,732334,0,65313,2522127,10474001,1222074,0,11696075,POINT (-94.4709413 41.3307464)
2012,1,ADAIR,1151852,250758,799031,443589,3981891,279894,694211,0,268250,1987942,9857418,1357600,0,11215018,POINT (-94.4709413 41.3307464)
2013,1,ADAIR,1160095,282580,285565,444453,4879090,306630,744142,0,765450,1261053,10129058,2218266,0,12347324,POINT (-94.4709413 41.3307464)
2014,1,ADAIR,1245884,287759,471728,456777,4402681,325221,769810,0,1053050,4444604,13457514,5518451,0,18975965,POINT (-94.4709413 41.3307464)
2015,1,ADAIR,1334664,373380,427576,516388,4416374,330837,696044,0,1298895,2731932,12126090,3482227,0,15608317,POINT (-94.4709413 41.3307464)
2016,1,ADAIR,1352345,320981,318902,518186,4342173,420026,782745,0,1368848,4682218,14106424,1829912,0,15936336,POINT (-94.4709413 41.3307464)
2017,1,ADAIR,1371674,256374,262448,541753,4708377,408349,751839,0,1461196,2601482,12363492,1617903,0,13981395,POINT (-94.4709413 41.3307464)
2018,1,ADAIR,1539025,251344,251932,507451,5115660,453921,864545,0,1641011,4596477,15221366,1596299,0,16817665,POINT (-94.4709413 41.3307464)
2019,1,ADAIR,1690109,282652,271308,498141,5290220,442485,941156,0,3519598,4553423,17489092,1323869,0,18812961,POINT (-94.4709413 41.3307464)
2020,1,Adair,1769193,271884,258796,546130,6081097,451055,983009,0,2291666,7846716,20499546,1322396,0,21821942,POINT (-94.4709413 41.3307464)
2021,1,Adair,1756169,278496,252000,796212,6052013,460199,959336,0,3162437,3986038,17702900,1104000,0,18806900,POINT (-94.4709413 41.3307464)
2010,2,ADAMS,882947,240879,481925,557288,2660968,191087,699437,31923,521316,19015,6286785,1100064,0,7386849,POINT (-94.6991849 41.02898390000001)
2011,2,ADAMS,887510,284369,571678,600903,2614000,205041,615436,17029,518687,452,6315105,743800,0,7058905,POINT (-94.6991849 41.02898390000001)
2012,2,ADAMS,1006863,275594,684396,670225,2918938,195663,701565,41430,912350,5508,7412532,1050632,0,8463164,POINT (-94.6991849 41.02898390000001)
2013,2,ADAMS,1010440,365838,181874,578773,2711979,239132,714785,35003,462279,16738,6316841,870365,0,7187206,POINT (-94.6991849 41.02898390000001)
2014,2,ADAMS,1030981,226897,351676,727056,2422552,224106,731096,27586,458150,62109,6262209,845361,0,7107570,POINT (-94.6991849 41.02898390000001)
2015,2,ADAMS,1014760,258707,434927,817850,2959385,277309,671558,84605,460929,277423,7257453,866421,0,8123874,POINT (-94.6991849 41.02898390000001)
2016,2,ADAMS,993716,234510,170644,809208,3204783,297696,745444,13362,950595,2640213,10060171,901513,0,10961684,POINT (-94.6991849 41.02898390000001)
2017,2,ADAMS,1217512,148899,153310,703400,3510456,294261,812920,39656,927319,578737,8386470,1125785,0,9512255,POINT (-94.6991849 41.02898390000001)
2018,2,ADAMS,1408991,212347,153311,707871,3596917,329740,787939,28670,776017,923622,8925425,968420,0,9893845,POINT (-94.6991849 41.02898390000001)
2019,2,ADAMS,1465438,198489,178812,866183,3531709,329668,775832,0,872527,616940,8835598,1099211,0,9934809,POINT (-94.6991849 41.02898390000001)
2020,2,Adams,1689443,210731,150209,793352,4032469,349004,867811,0,965176,1117834,10176029,1747582,0,11923611,POINT (-94.6991849 41.02898390000001)
2021,2,Adams,1756873,228403,73999,1124964,4419467,379554,835953,0,873418,1121547,10814178,1167089,0,11981267,POINT (-94.6991849 41.02898390000001)
2010,3,ALLAMAKEE,1374596,711347,1622626,797376,4004641,385772,810985,15803,0,987268,10710414,1365827,0,12076241,POINT (-91.3780923 43.2842838)
2011,3,ALLAMAKEE,1537496,611220,1734397,839055,4154215,382460,820249,39516,0,910707,11029315,1343661,0,12372976,POINT (-91.3780923 43.2842838)
2012,3,ALLAMAKEE,1526971,628816,1989737,869405,4396674,407948,860078,45852,0,1086263,11811744,1419616,0,13231360,POINT (-91.3780923 43.2842838)
2013,3,ALLAMAKEE,1594965,652249,1209344,870293,4678034,418072,898243,26381,0,1067236,11414817,1467413,0,12882230,POINT (-91.3780923 43.2842838)
2014,3,ALLAMAKEE,1586688,640172,930519,1072156,4887750,470305,1038032,128495,0,788798,11542915,1509069,0,13051984,POINT (-91.3780923 43.2842838)
2015,3,ALLAMAKEE,1673369,599100,1163208,1099700,4721475,503097,1047559,58523,0,1694187,12560218,1566470,0,14126688,POINT (-91.3780923 43.2842838)
2016,3,ALLAMAKEE,1924807,623262,769703,1969081,5236266,506573,1050420,112749,103646,2617842,14914349,1612965,0,16527314,POINT (-91.3780923 43.2842838)
2017,3,ALLAMAKEE,2177453,655540,822985,2793518,6236508,484228,1040120,7227,409670,5132964,19760213,1743805,0,21504018,POINT (-91.3780923 43.2842838)
2018,3,ALLAMAKEE,2313447,684109,769564,1172173,6451759,492369,1038812,13680,407567,1352343,14695823,1805887,0,16501710,POINT (-91.3780923 43.2842838)
2019,3,ALLAMAKEE,2397569,676511,700118,1035759,5571516,527106,1085315,7828,411951,1409079,13822752,1915460,0,15738212,POINT (-91.3780923 43.2842838)
2020,3,Allamakee,2616659,630298,615151,1126585,6300392,568350,1058841,11663,426692,989132,14343763,1949670,0,16293433,POINT (-91.3780923 43.2842838)
2021,3,Allamakee,2850511,608975,416496,1131976,6346027,604625,1135155,15608,407754,499893,14017020,1973755,0,15990775,POINT (-91.3780923 43.2842838)
2010,4,APPANOOSE,1703275,698207,1478742,628856,3014049,413401,968794,0,192379,871563,9969266,501148,0,10470414,POINT (-92.8686104 40.7431635)
2011,4,APPANOOSE,1751404,761055,576845,756649,3231654,411539,865149,0,140575,940033,9434903,499421,0,9934324,POINT (-92.8686104 40.7431635)
2012,4,APPANOOSE,1879540,738824,522571,559701,3789406,406790,911495,0,196172,443198,9447697,769915,0,10217612,POINT (-92.8686104 40.7431635)
2013,4,APPANOOSE,1957565,673572,1876814,525816,3252266,442160,961172,0,195537,388903,10273805,702475,0,10976280,POINT (-92.8686104 40.7431635)
2014,4,APPANOOSE,1990089,761129,790066,517216,3556094,464278,1119118,0,200212,728797,10126999,727264,0,10854263,POINT (-92.8686104 40.7431635)
2015,4,APPANOOSE,2118266,909951,790799,654578,3298261,457472,922028,0,192817,155767,9499939,716957,0,10216896,POINT (-92.8686104 40.7431635)
2016,4,APPANOOSE,2131862,742900,808072,795101,3571180,577131,908506,0,152012,117029,9803793,710699,0,10514492,POINT (-92.8686104 40.7431635)
2017,4,APPANOOSE,2213276,698521,355765,700066,3370390,482076,936165,0,156272,358938,9271469,685207,0,9956676,POINT (-92.8686104 40.7431635)
2018,4,APPANOOSE,2511077,537548,436255,609222,3185299,476313,1037141,0,99282,298744,9190881,706927,0,9897808,POINT (-92.8686104 40.7431635)
