Unique Line ID,Fiscal Year Ending,County,County Name,Public Safety & Legal Services,Physical Health & Social Services,"Mental Health MR, DD",County Environment & Education,Roads & Transportation,Government Services to Residents,Administration,Nonprogram Current,Debt Service,Capital Projects,Sub-Total Expenditures,Operating Transfers Out,Refunded Debt/Escrow,Total Expenditures,Increase (Decrease) in Reserves,Total Ending Fund Balance,Total Requirements,Primary County Coordinates
2011_52_JOHNSON_EXPEND_SA,2011,52,JOHNSON,20189127,8594931,13266037,3250069,6939002,2152447,6749906,3000,4599650,6809169,72553338,20047971,0,92601309,0,13210946,105812255,POINT (-91.5880849 41.6715511)
2014_2_ADAMS_EXPEND_SA,2014,2,ADAMS,1119300,278111,242559,719175,2799000,244348,785544,32500,543681,80500,6844718,860325,0,7705043,0,2365957,10071000,POINT (-94.6991849 41.02898390000001)
2005_70_MUSCATINE_EXPEND_SA,2005,70,MUSCATINE,5766706,1374848,4654820,750122,4223000,755918,2128719,0,673318,2745000,23072451,505400,,23577851,0,5152394,28730245,POINT (-91.1127562 41.4839221)
2018_36_FREMONT_EXPEND_SA,2018,36,FREMONT,2918415,294022,310726,434807,4137000,512207,1497726,10000,458970,478000,11051873,1379215,0,12431088,0,3788519,16219607,POINT (-95.6046765 40.7455892)
2021_82_SCOTT_EXPEND_SA,2021,82,SCOTT,35590157,6976608,5628347,5402560,7747100,3017786,13463914,0,4867249,12983076,95676797,14563763,0,110240560,0,25115236,135355796,POINT (-90.6232428 41.6370978)
2015_47_IDA_EXPEND_SA,2015,47,IDA,799179,307443,395616,387737,3034651,263280,756191,0,0,1295000,7239097,1106094,0,8345191,0,2123880,10469071,POINT (-95.5134962 42.3868747)
2021_3_ALLAMAKEE_EXPEND_SA,2021,3,ALLAMAKEE,2979902,683355,417540,1260776,7063914,630146,1225019,20750,425304,1500000,16206706,2061960,0,18268666,0,2697821,20966487,POINT (-91.3780923 43.2842838)
2020_17_CERRO GORDO_EXPEND_SA,2020,17,CERRO GORDO,9994629,6162737,2217305,2194796,7320263,1262118,3813036,0,997494,2165000,36127378,7521057,0,43648435,0,17541669,61190104,POINT (-93.2608184 43.081557700000005)
2013_18_CHEROKEE_EXPEND_SA,2013,18,CHEROKEE,1976088,363062,1615906,754971,4074950,508513,1682109,0,0,1560000,12535599,1485000,0,14020599,0,5142975,19163574,POINT (-95.6238055 42.7356226)
2018_51_JEFFERSON_EXPEND_SA,2018,51,JEFFERSON,3261953,873150,576935,746826,4266000,562966,1311464,5000,391987,898000,12894281,1012843,0,13907124,0,4123674,18030798,POINT (-91.9488774 41.0317596)
2022_36_FREMONT_EXPEND_SA,2022,36,FREMONT,3228903,313327,160080,468528,5150000,552156,1788477,10000,719400,5746000,18136871,1399296,0,19536167,0,3785715,23321882,POINT (-95.6046765 40.7455892)
2019_26_DAVIS_EXPEND_SA,2019,26,DAVIS,1788782,408770,537560,470015,4515255,429386,1105164,30539,412190,865000,10562661,914086,0,11476747,0,1984428,13461175,POINT (-92.4097173 40.7476891)
2011_36_FREMONT_EXPEND_SA,2011,36,FREMONT,1908723,299194,1215893,749590,3689100,412134,1307703,2300,145840,341000,10071477,855661,0,10927138,0,2572271,13499409,POINT (-95.6046765 40.7455892)
2015_35_FRANKLIN_EXPEND_SA,2015,35,FRANKLIN,1746426,2453046,498992,890221,4661000,459700,1785725,0,1511400,750000,14756510,1660990,0,16417500,0,5685487,22102987,POINT (-93.262473 42.7325458)
2019_84_SIOUX_EXPEND_SA,2019,84,SIOUX,4665242,1254089,788877,1733619,7411205,1087570,2586529,40000,1316520,4773800,25657451,3128000,0,28785451,0,14247018,43032469,POINT (-96.1778827 43.0826174)
2008_69_MONTGOMERY_EXPEND_SA,2008,69,MONTGOMERY,1587836,731817,993425,291029,2835746,401860,711717,220,64496,778534,8396680,989583,0,9386263,0,1739018,11125281,POINT (-95.1563758 41.03014)
2018_83_SHELBY_EXPEND_SA,2018,83,SHELBY,2467091,577793,684096,445749,6073410,466815,1313174,0,200100,1791900,14020128,3077233,0,17097361,0,2394663,19492024,POINT (-95.31021130000002 41.6850926)
2006_40_HAMILTON_EXPEND_SA,2006,40,HAMILTON,2137520,2039503,2135679,1163653,3960650,596258,1130494,0,1263416,1128323,15555496,2497570,,18053066,0,1825960,19879026,POINT (-93.7068085 42.3837722)
2017_3_ALLAMAKEE_EXPEND_SA,2017,3,ALLAMAKEE,2459078,691847,669033,2301940,6067441,602621,1232445,12000,425000,6687857,21149262,1843443,0,22992705,0,3089531,26082236,POINT (-91.3780923 43.2842838)
2016_80_RINGGOLD_EXPEND_SA,2016,80,RINGGOLD,1523936,871488,562630,303322,3482402,279090,827657,0,489956,450000,8790481,749451,0,9539932,0,3333641,12873573,POINT (-94.2439719 40.7352023)
2012_68_MONROE_EXPEND_SA,2012,68,MONROE,1381348,929279,1053842,340500,2673417,406856,1126291,0,433429,794500,9139462,949712,0,10089174,0,1724811,11813985,POINT (-92.8689877 41.0297826)
2006_3_ALLAMAKEE_EXPEND_SA,2006,3,ALLAMAKEE,1167396,658693,1729663,1089957,3497974,567716,854869,55363,0,900000,10521631,1009050,,11530681,0,2608677,14139358,POINT (-91.3780923 43.2842838)
2019_69_MONTGOMERY_EXPEND_SA,2019,69,MONTGOMERY,3398396,592746,214725,467730,4479415,538188,1374413,0,1263206,4121488,16450307,1010000,0,17460307,0,2450913,19911220,POINT (-95.1563758 41.03014)
2021_50_JASPER_EXPEND_SA,2021,50,JASPER,7682722,2098939,1218400,1725876,8156649,1531645,3664413,22000,1389975,3736000,31226619,6907484,0,38134103,0,8998361,47132464,POINT (-93.053765 41.6860394)
2022_85_STORY_EXPEND_SA,2022,85,STORY,15359113,2867869,1892751,4708301,7659876,2115889,7733922,0,1550920,2886947,46775588,4363809,0,51139397,0,18367577,69506974,POINT (-93.4650448 42.0362415)
2009_84_SIOUX_EXPEND_SA,2009,84,SIOUX,3499008,2117515,2734182,839280,5491400,757531,1946749,42700,531968,3445075,21405408,1767733,0,23173141,0,3736907,26910048,POINT (-96.1778827 43.0826174)
2020_75_PLYMOUTH_EXPEND_SA,2020,75,PLYMOUTH,4449139,406897,657043,1250970,8925000,958001,2873985,0,653625,3995000,24169660,4025000,0,28194660,0,6098992,34293652,POINT (-96.2140431 42.7378346)
2016_17_CERRO GORDO_EXPEND_SA,2016,17,CERRO GORDO,8702324,5356742,2439446,1463369,5694852,1274283,3405156,0,1434389,1490000,31260561,6244339,0,37504900,0,11015204,48520104,POINT (-93.2608184 43.081557700000005)
2008_51_JEFFERSON_EXPEND_SA,2008,51,JEFFERSON,2515579,576700,1298424,571862,2625000,421804,860558,0,161605,335000,9366532,766909,0,10133441,0,2960747,13094188,POINT (-91.9488774 41.0317596)
2022_47_IDA_EXPEND_SA,2022,47,IDA,1182642,304338,267540,1115155,4037503,347794,966693,0,1065536,10308000,19595201,2241583,0,21836784,0,3800012,25636796,POINT (-95.5134962 42.3868747)
