"County","Office_Area"
"Adair","Council Bluffs"
"Adams","Council Bluffs"
"Allamakee","Mason City"
"Appanoose","Ottumwa"
"Audubon","Ames"
"Benton","Cedar Rapids"
"Black Hawk","Waterloo"
"Boone","Ames"
"Bremer","Waterloo"
"Buchanan","Waterloo"
"Buena Vista","Fort Dodge"
"Butler","Waterloo"
"Calhoun","Fort Dodge"
"Carroll","Ames"
"Cass","Council Bluffs"
"Cedar","Iowa City"
"Cerro Gordo","Mason City"
"Cherokee","Fort Dodge"
"Chickasaw","Waterloo"
"Clarke","Council Bluffs"
"Clay","Fort Dodge"
"Clayton","Dubuque"
"Clinton","Davenport"
"Crawford","Ames"
"Dallas","Des Moines"
"Davis","Ottumwa"
"Decatur","Council Bluffs"
"Delaware","Dubuque"
"Des Moines","Burlington"
"Dickinson","Fort Dodge"
"Dubuque","Dubuque"
"Emmet","Fort Dodge"
"Fayette","Waterloo"
"Floyd","Mason City"
"Franklin","Mason City"
"Fremont","Council Bluffs"
"Greene","Ames"
"Grundy","Waterloo"
"Guthrie","Ames"
"Hamilton","Fort Dodge"
"Hancock","Mason City"
"Hardin","Ames"
"Harrison","Council Bluffs"
"Henry","Burlington"
"Howard","Mason City"
"Humboldt","Fort Dodge"
"Ida","Sioux City"
"Iowa","Iowa City"
"Jackson","Davenport"
"Jasper","Ames"
"Jefferson","Ottumwa"
"Johnson","Iowa City"
"Jones","Cedar Rapids"
"Keokuk","Ottumwa"
"Kossuth","Fort Dodge"
"Lee","Burlington"
"Linn","Cedar Rapids"
"Louisa","Burlington"
"Lucas","Ottumwa"
"Lyon","Sioux City"
"Madison","Council Bluffs"
"Mahaska","Ottumwa"
"Marion","Ottumwa"
"Marshall","Ames"
"Mills","Council Bluffs"
"Mitchell","Mason City"
"Monona","Sioux City"
"Monroe","Ottumwa"
"Montgomery","Council Bluffs"
"Muscatine","Davenport"
"O'Brien","Sioux City"
"Osceola","Sioux City"
"Page","Council Bluffs"
"Palo Alto","Fort Dodge"
"Plymouth","Sioux City"
"Pocahontas","Fort Dodge"
"Polk","Des Moines"
"Pottawattamie","Council Bluffs"
"Poweshiek","Ames"
"Ringgold","Council Bluffs"
"Sac","Fort Dodge"
"Scott","Davenport"
"Shelby","Council Bluffs"
"Sioux","Sioux City"
"Story","Ames"
"Tama","Ames"
"Taylor","Council Bluffs"
"Union","Council Bluffs"
"Van Buren","Ottumwa"
"Wapello","Ottumwa"
"Warren","Ottumwa"
"Washington","Iowa City"
"Wayne","Ottumwa"
"Webster","Fort Dodge"
"Winnebago","Mason City"
"Winneshiek","Mason City"
"Woodbury","Sioux City"
"Worth","Mason City"
"Wright","Fort Dodge"
