Region,Year,ID,Category,Sub Category 1,Sub Category 2,MI (40),ID (42),DD (43),BI (47),Admin (44),Other,Total
Care Connections of Northern Iowa,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,90469.59,,,,,,90469.59
Care Connections of Northern Iowa,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,24393.07,,,,,,24393.07
Care Connections of Northern Iowa,2021,43301,Core,Treatment,Evaluation (Non Crisis) - Assessment and Evaluation,400,,,,,,400
Care Connections of Northern Iowa,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,578.2,,,,,,578.2
Care Connections of Northern Iowa,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,,,,,,,
Care Connections of Northern Iowa,2021,32322,Core,Basic Crisis Response,Support Services - Personal Emergency Response System,,,,,,,
Care Connections of Northern Iowa,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,19080,,,,,,19080
Care Connections of Northern Iowa,2021,44302,Core,Basic Crisis Response,23 Hour Observation and Holding,,,,,,,
Care Connections of Northern Iowa,2021,44305,Core,Basic Crisis Response,24 Hour Crisis Response,,,,,,,
Care Connections of Northern Iowa,2021,44307,Core,Basic Crisis Response,Mobile Response,84200,,,,,,84200
Care Connections of Northern Iowa,2021,44312,Core,Basic Crisis Response,Crisis Stabilization Community Based Services (CSCBS),,,,,,,
Care Connections of Northern Iowa,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),,,,,,,
Care Connections of Northern Iowa,2021,44396,Core,Basic Crisis Response,Access Center start-up/sustainability/coordination,,,,,,,
Care Connections of Northern Iowa,2021,32320,Core,Support for Community Living,Support Services - Home Health Aides,,,,,,,
Care Connections of Northern Iowa,2021,32325,Core,Support for Community Living,Support Services - Respite Services,14646.38,,,,,,14646.38
Care Connections of Northern Iowa,2021,32328,Core,Support for Community Living,Support Services - Home/Vehicle Modification,,,,,,,
Care Connections of Northern Iowa,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,158289.28,2774.58,,,,,161063.86
Care Connections of Northern Iowa,2021,42329,Core,Support for Community Living,Psychotherapeutic Treatment - Intensive Residential Services,,,,,,,
Care Connections of Northern Iowa,2021,50362,Core,Support For Employment,Voc/Day - Prevocational Services,,,,,,,
Care Connections of Northern Iowa,2021,50364,Core,Support For Employment,Voc/Day - Job Development,5580.29,,,,,,5580.29
Care Connections of Northern Iowa,2021,50367,Core,Support For Employment,Day Habilitation,8905.54,4386.76,,,,,13292.3
Care Connections of Northern Iowa,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,56901.66,33075.44,,,,,89977.1
Care Connections of Northern Iowa,2021,50369,Core,Support For Employment,Voc/Day - Group Supported Employment,,,,,,,
Care Connections of Northern Iowa,2021,45323,Core,Recovery Services,Peer Family Support - Family Support,,,,,,,
Care Connections of Northern Iowa,2021,45366,Core,Recovery Services,Peer Family Support - Peer Support Services,,,,,,,
Care Connections of Northern Iowa,2021,21375,Core,Service Coordination,Case Management - 100% County,,,,,,,
Care Connections of Northern Iowa,2021,24376,Core,Service Coordination,Health Homes Coordination - Coordination Services,,,,,,,
Care Connections of Northern Iowa,2021,63309,Core,Sub-Acute Services,Sub Acute Services (1-5 Beds),,,,,,,
Care Connections of Northern Iowa,2021,64309,Core,Sub-Acute Services,Sub Acute Services (6+ Beds),,,,,,,
Care Connections of Northern Iowa,2021,4422,Core,Core Evidence Based Treatment,Consultation - Educational and Training Services,,,,,,,
Care Connections of Northern Iowa,2021,32396,Core,Core Evidence Based Treatment,Supported Housing,,,,,,,
Care Connections of Northern Iowa,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),22108.15,,,,,,22108.15
Care Connections of Northern Iowa,2021,45373,Core,Core Evidence Based Treatment,Peer Family Support - Family Psycho-Education,,,,,,,
Care Connections of Northern Iowa,2021,46319,Mandated,,Iowa Medical and Classification Center (Oakdale),,,,,,,
Care Connections of Northern Iowa,2021,72319,Mandated,,State Hospital Schools - Inpatient per diem charges,,,,,,,
Care Connections of Northern Iowa,2021,74XXX,Mandated,,CommitmentRelated (except 301),40752.99,,,,,,40752.99
Care Connections of Northern Iowa,2021,75XXX,Mandated,,Mental health advocate,97769.82,,,,,,97769.82
Care Connections of Northern Iowa,2021,25XXX,Core Plus,Justice System Involved Services,Coordination services,,,,,,,
Care Connections of Northern Iowa,2021,44346,Core Plus,Justice System Involved Services,Crisis Services - Telephone Crisis Service,750,,,,,,750
Care Connections of Northern Iowa,2021,44366,Core Plus,Justice System Involved Services,Warm-Line,,,,,,,
Care Connections of Northern Iowa,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,24905.22,,,,,,24905.22
Care Connections of Northern Iowa,2021,46399,Core Plus,Justice System Involved Services,Justice System - Involved Services - Other,,,,,,,
Care Connections of Northern Iowa,2021,46422,Core Plus,Justice System Involved Services,Crisis Prevention Training,,,,,,,
Care Connections of Northern Iowa,2021,46425,Core Plus,Justice System Involved Services,Mental Health Court related expenses,,,,,,,
Care Connections of Northern Iowa,2021,74301,Core Plus,Justice System Involved Services,Commitment - Civil Prescreening,,,,,,,
Care Connections of Northern Iowa,2021,42366,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Social Support Services,,,,,,,
