Region,Year,Disability Group,Children,Adult,Unduplicated Total,DG
Care Connections of Northern Iowa,2021,Mental Illness,54,359,413,40
Care Connections of Northern Iowa,2021,"Mental Illness, Intellectual Disabilities",0,5,5,"40, 42"
Care Connections of Northern Iowa,2021,"Mental Illness, MH/DD General Administration",0,1,1,"40, 44"
Central Iowa Community Services,2021,Mental Illness,444,2622,3066,40
Central Iowa Community Services,2021,"Mental Illness, Intellectual Disabilities",2,71,73,"40, 42"
Central Iowa Community Services,2021,"Mental Illness, Intellectual Disabilities, Other Developmental Disabilities",0,5,5,"40, 42, 43"
Central Iowa Community Services,2021,"Mental Illness, Intellectual Disabilities, Other Developmental Disabilities, Brain Injury",0,1,1,"40, 42, 43, 47"
Central Iowa Community Services,2021,"Mental Illness, Other Developmental Disabilities",0,35,35,"40, 43"
Central Iowa Community Services,2021,"Mental Illness, Other Developmental Disabilities, Brain Injury",0,2,2,"40, 43, 47"
Central Iowa Community Services,2021,"Mental Illness, Brain Injury",0,7,7,"40, 47"
Central Iowa Community Services,2021,Intellectual Disabilities,2,170,172,42
Central Iowa Community Services,2021,"Intellectual Disabilities, Other Developmental Disabilities",0,1,1,"42, 43"
Central Iowa Community Services,2021,Other Developmental Disabilities,0,28,28,43
Central Iowa Community Services,2021,Brain Injury,0,6,6,47
Cross Rural Offices of Social Services,2021,Mental Illness,133,618,751,40
Cross Rural Offices of Social Services,2021,"Mental Illness, Intellectual Disabilities",0,3,3,"40, 42"
Cross Rural Offices of Social Services,2021,"Mental Illness, Intellectual Disabilities, Other Developmental Disabilities",0,1,1,"40, 42, 43"
Cross Rural Offices of Social Services,2021,"Mental Illness, Other Developmental Disabilities",0,2,2,"40, 43"
County Social Services,2021,Mental Illness,474,4089,4563,40
County Social Services,2021,"Mental Illness, Intellectual Disabilities",5,85,90,"40, 42"
County Social Services,2021,"Mental Illness, Intellectual Disabilities, Other Developmental Disabilities",0,10,10,"40, 42, 43"
County Social Services,2021,"Mental Illness, Intellectual Disabilities, Other Developmental Disabilities, Brain Injury",0,1,1,"40, 42, 43, 47"
County Social Services,2021,"Mental Illness, Intellectual Disabilities, County Provided Services",0,22,22,"40, 42, 46"
County Social Services,2021,"Mental Illness, Intellectual Disabilities, County Provided Services, Brain Injury",0,1,1,"40, 42, 46, 47"
