Region,Year,ID,Category,Sub Category 1,Sub Category 2,MI (40) (Adult),MI (40) (Child),ID(42) (Adult),ID(42) (Child),DD(43) (Adult),DD(43) (Child),BI (47) (Adult),BI (47) (Child),Other (Adult),Other (Child),Total
Care Connections of Northern Iowa,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,5,,,,,,,,,,5
Care Connections of Northern Iowa,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,6,,,,,,,,,,6
Care Connections of Northern Iowa,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,1,,,,,,,,,,1
Care Connections of Northern Iowa,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,9,9,,,,,,,,,18
Care Connections of Northern Iowa,2021,44307,Core,Basic Crisis Response,Mobile Response,17,11,,,,,,,,,28
Care Connections of Northern Iowa,2021,32325,Core,Support for Community Living,Support Services - Respite Services,7,3,,,,,,,,,10
Care Connections of Northern Iowa,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,13,1,3,,,,,,,,17
Care Connections of Northern Iowa,2021,50367,Core,Support For Employment,Day Habilitation,3,,2,,,,,,,,5
Care Connections of Northern Iowa,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,7,,2,,,,,,,,9
Care Connections of Northern Iowa,2021,74XXX,Mandated,,CommitmentRelated (except 301),105,4,,,,,,,,,109
Care Connections of Northern Iowa,2021,75XXX,Mandated,,Mental health advocate,86,3,,,,,,,,,89
Care Connections of Northern Iowa,2021,44346,Core Plus,Justice System Involved Services,Crisis Services - Telephone Crisis Service,1,1,,,,,,,,,2
Care Connections of Northern Iowa,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,64,,,,,,,,,,64
Care Connections of Northern Iowa,2021,22XXX,Community Living Support Services,,Services management,136,27,,,,,,,,,163
Care Connections of Northern Iowa,2021,31XXX,Community Living Support Services,,Transportation,17,2,,,,,,,,,19
Care Connections of Northern Iowa,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,2,,,,,,,,,,2
Care Connections of Northern Iowa,2021,33399,Community Living Support Services,,Basic Needs - Other,3,,,,,,,,,,3
Care Connections of Northern Iowa,2021,41307,Community Living Support Services,,Physiological Treatment - In-Home Nursing,2,,,,,,,,,,2
Care Connections of Northern Iowa,2021,46306,Community Living Support Services,,Prescription Medication (Psychiatric Medications in Jail),43,1,,,,,,,,,44
Care Connections of Northern Iowa,2021,64XXX,Congregate Services,,RCF-6 and over beds,15,1,,,,,,,,,16
Care Connections of Northern Iowa,2021,11XXX,Administration,,Direct Administration,,,,,,,,,1,,1
Central Iowa Community Services,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,52,4,,,,,,,,,56
Central Iowa Community Services,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,48,,,,,,,,,,48
Central Iowa Community Services,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,11,,,,,,,,,,11
Central Iowa Community Services,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,3,,,,,,,,,,3
Central Iowa Community Services,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,829,292,11,,1,,1,,,,1134
Central Iowa Community Services,2021,44312,Core,Basic Crisis Response,Crisis Stabilization Community Based Services (CSCBS),1,,,,,,,,,,1
Central Iowa Community Services,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),9,6,,,,,,,,,15
Central Iowa Community Services,2021,44396,Core,Basic Crisis Response,Access Center start-up/sustainability/coordination,1,,,,,,,,,,1
Central Iowa Community Services,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,71,1,17,,25,,4,,,,118
Central Iowa Community Services,2021,50362,Core,Support For Employment,Voc/Day - Prevocational Services,,,1,,1,,1,,,,3
Central Iowa Community Services,2021,50367,Core,Support For Employment,Day Habilitation,3,,6,,8,,4,,,,21
Central Iowa Community Services,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,13,,11,,20,,2,,,,46
