Substate Region,State,County
Central,Iowa,Jasper
Central,Iowa,Marion
Central,Iowa,Polk 
Central,Iowa,Warren 
North Central,Iowa,Boone
North Central,Iowa,Cerro Gordo
North Central,Iowa,Floyd
North Central,Iowa,Franklin
North Central,Iowa,Hancock
North Central,Iowa,Hardin
North Central,Iowa,Kossuth
North Central,Iowa,Marshall
North Central,Iowa,Mitchell
North Central,Iowa,Poweshiek
North Central,Iowa,Story
North Central,Iowa,Tama
North Central,Iowa,Winnebago
North Central,Iowa,Worth
Northeast,Iowa,Allamakee
Northeast,Iowa,Benton
Northeast,Iowa,Black Hawk
Northeast,Iowa,Bremer
Northeast,Iowa,Buchanan
Northeast,Iowa,Butler
Northeast,Iowa,Chickasaw
Northeast,Iowa,Clayton
Northeast,Iowa,Clinton
Northeast,Iowa,Delaware
Northeast,Iowa,Dubuque
Northeast,Iowa,Fayette
Northeast,Iowa,Grundy
Northeast,Iowa,Howard
Northeast,Iowa,Jackson
Northeast,Iowa,Jones
Northeast,Iowa,Linn
Northeast,Iowa,Winneshiek
Northwest,Iowa,Audubon
Northwest,Iowa,Buena Vista
Northwest,Iowa,Calhoun
Northwest,Iowa,Carroll
Northwest,Iowa,Cherokee
Northwest,Iowa,Clay
Northwest,Iowa,Crawford
Northwest,Iowa,Dickinson
Northwest,Iowa,Emmet
Northwest,Iowa,Greene
Northwest,Iowa,Guthrie
Northwest,Iowa,Hamilton
Northwest,Iowa,Humboldt
Northwest,Iowa,Ida
Northwest,Iowa,Lyon
Northwest,Iowa,Monona
Northwest,Iowa,O'Brien
Northwest,Iowa,Osceola
Northwest,Iowa,Palo Alto
Northwest,Iowa,Plymouth
Northwest,Iowa,Pocahontas
Northwest,Iowa,Sac
Northwest,Iowa,Shelby
Northwest,Iowa,Sioux
Northwest,Iowa,Webster
Northwest,Iowa,Woodbury
Northwest,Iowa,Wright
Southeast,Iowa,Appanoose
Southeast,Iowa,Cedar
Southeast,Iowa,Davis
Southeast,Iowa,Des Moines
Southeast,Iowa,Henry
Southeast,Iowa,Iowa
Southeast,Iowa,Jefferson
Southeast,Iowa,Johnson
Southeast,Iowa,Keokuk
Southeast,Iowa,Lee
Southeast,Iowa,Louisa
Southeast,Iowa,Lucas
Southeast,Iowa,Mahaska
Southeast,Iowa,Monroe
Southeast,Iowa,Muscatine
Southeast,Iowa,Scott
Southeast,Iowa,Van Buren
Southeast,Iowa,Wapello
Southeast,Iowa,Washington
Southeast,Iowa,Wayne
Southwest,Iowa,Adair
Southwest,Iowa,Adams
Southwest,Iowa,Cass
Southwest,Iowa,Clarke
Southwest,Iowa,Dallas
Southwest,Iowa,Decatur
Southwest,Iowa,Fremont
Southwest,Iowa,Harrison
Southwest,Iowa,Madison
Southwest,Iowa,Mills
Southwest,Iowa,Montgomery
Southwest,Iowa,Page
Southwest,Iowa,Pottawattamie
Southwest,Iowa,Ringgold
Southwest,Iowa,Taylor
Southwest,Iowa,Union
