"GEOID","NAME","In the Labor Force,Employed with disabilityE","In the Labor Force,Employed with disabilityM","In the Labor force,unemployed with a disabilityE","In the Labor force,unemployed with a disabilityM","Not in the Labor force, with a disabilityE","Not in the Labor force, with a disabilityM","In the Labor Force,Employed with no disabilityE","In the Labor Force,Employed with no disabilityM","In the Labor force,unemployed with no disabilityE","In the Labor force,unemployed with no disabilityM","Not in the Labor Force, with no disabilityE","Not in the Labor Force, with no disabilityM","disability_total","no_disability_total","CV_employed_disabled","CV_unemployed_disabled","CV_not_in_Labor_force_disabled","CV_employed_not_disabled","CV_unemployed_not_disabled","CV_not_in_Labor_force_not_disabled","percent_in_labor_force_employed_disabled","percent_in_labor_force_employed_not_disabled","percent_in_labor_force_unemployed_disabled","percent_in_labor_force_unemployed_not_disabled","percent_not_in_labor_force_disabled","percent_not_in_labor_force_not_disabled","percent_in_labor_force_employed_gap","percent_in_labor_force_unemployed_gap","percent_not_in_labor_force_gap","ï..County","Total","Retired.workers","Spouses","Children","Widow.er.s.and.parents","Children.1","Disabled.workers","Spouses.1","Children.2","Men..above.65.","Women..above.65."
"19001","Adair County, Iowa",289,80,15,14,255,71,2779,143,151,51,465,99,559,3395,"median reliability","high reliability","median reliability","high reliability","median reliability","high reliability",51.6994633273703,81.8556701030928,2.68336314847943,4.44771723122239,45.6171735241503,13.6966126656848,30.1562067757225,1.76435408274296,-31.9205608584654,"Adair","2,490","1,961","45",9,"167","46","249","1",12,"1,097","1,013"
"19003","Adams County, Iowa",117,46,11,12,68,28,1410,86,52,38,369,75,196,1831,"median reliability","high reliability","median reliability","high reliability"," low reliability","high reliability",59.6938775510204,77.007099945385,5.61224489795918,2.8399781540142,34.6938775510204,20.1529219006008,17.3132223943646,-2.77226674394498,-14.5409556504196,"Adams","1,321","1,033","20",5,"92","34","131","1",6,"555","555"
"19005","Allamakee County, Iowa",325,96,18,20,233,88,5588,268,171,85,1051,196,576,6810,"median reliability","high reliability","median reliability","high reliability"," low reliability","high reliability",56.4236111111111,82.0558002936857,3.125,2.51101321585903,40.4513888888889,15.4331864904552,25.6321891825746,-0.613986784140969,-25.0182023984337,"Allamakee","4,806","3,999","93",24,"289","48","342","1",10,"2,259","1,944"
"19007","Appanoose County, Iowa",271,88,57,51,690,165,4052,361,268,110,1429,284,1018,5749,"median reliability","high reliability","high reliability","high reliability","median reliability","high reliability",26.6208251473477,70.4818229257262,5.5992141453831,4.66168029222473,67.7799607072692,24.856496782049,43.8609977783785,-0.93753385315837,-42.9234639252201,"Appanoose","4,563","3,442","72",21,"306","88","611","4",20,"1,908","1,758"
"19009","Audubon County, Iowa",159,65,3,4,190,50,2349,136,29,19,271,78,352,2649,"median reliability","high reliability","median reliability","high reliability"," low reliability","median reliability",45.1704545454545,88.6749716874292,0.852272727272727,1.09475273688184,53.9772727272727,10.2302755756889,43.5045171419747,0.242480009609115,-43.7469971515838,"Audubon","2,183","1,747","39",3,"164","17","207","0",6,"1,024","881"
"19011","Benton County, Iowa",504,115,60,35,604,153,11869,303,238,89,1578,255,1168,13685,"high reliability","high reliability","median reliability","high reliability","median reliability","high reliability",43.1506849315069,86.7299963463646,5.13698630136986,1.73913043478261,51.7123287671233,11.5308732188528,43.5793114148578,-3.39785586658725,-40.1814555482705,"Benton","8,455","6,730","152",29,"495","121","877","3",49,"3,770","3,219"
"19013","Black Hawk County, Iowa",3745,435,754,264,4230,453,59480,1009,2420,348,10307,746,8729,72207,"high reliability","high reliability","high reliability","high reliability","high reliability","high reliability",42.9029671210906,82.3742850416165,8.63787375415282,3.35147561870733,48.4591591247566,14.2742393396762,39.4713179205259,-5.28639813544549,-34.1849197850803,"Black Hawk","40,672","31,911","749",207,"2,393","791","4,414","9",198,"17,419","16,327"
"19015","Boone County, Iowa",933,228,29,24,699,226,12085,413,253,75,1841,270,1661,14179,"high reliability","high reliability","median reliability","high reliability","median reliability","high reliability",56.1709813365442,85.231680654489,1.74593618302228,1.78432893716059,42.0830824804335,12.9839904083504,29.0606993179448,0.0383927541383138,-29.0990920720831,"Boone","8,879","7,066","137",46,"514","187","883","2",43,"3,784","3,613"
"19017","Bremer County, Iowa",590,125,34,25,480,127,11311,269,357,107,1638,210,1104,13306,"high reliability","high reliability","median reliability","high reliability","median reliability","high reliability",53.4420289855072,85.0067638659252,3.07971014492754,2.68300015030813,43.4782608695652,12.3102359837667,31.5647348804179,-0.396709994619405,-31.1680248857985,"Bremer","8,580","7,155","175",30,"579","124","495","1",20,"4,037","3,601"
"19019","Buchanan County, Iowa",680,145,22,20,406,85,9029,237,239,86,1273,191,1108,10541,"high reliability","high reliability","high reliability","high reliability","median reliability","high reliability",61.3718411552347,85.6560098662366,1.985559566787,2.26733706479461,36.6425992779783,12.0766530689688,24.2841687110019,0.281777498007608,-24.5659462090096,"Buchanan","6,666","5,238","118",21,"541","128","588","1",30,"2,947","2,732"
"19021","Buena Vista County, Iowa",479,137,22,24,333,72,8870,299,585,164,1408,203,834,10863,"median reliability","high reliability","high reliability","high reliability","median reliability","high reliability",57.4340527577938,81.6533186044371,2.6378896882494,5.38525269262635,39.9280575539568,12.9614287029366,24.2192658466433,2.74736300437695,-26.9666288510203,"Buena Vista","5,078","4,133","102",21,"332","87","383","1",18,"2,349","2,054"
"19023","Butler County, Iowa",370,76,19,15,386,87,5998,170,245,65,922,133,775,7165,"high reliability","high reliability","high reliability","high reliability","median reliability","high reliability",47.741935483871,83.7124912770412,2.45161290322581,3.41939986043266,49.8064516129032,12.8681088625262,35.9705557931702,0.967786957206852,-36.9383427503771,"Butler","5,539","4,486","120",16,"376","89","425","0",26,"2,673","2,126"
"19025","Calhoun County, Iowa",172,48,4,5,279,77,3642,175,92,36,649,108,455,4383,"median reliability","high reliability","median reliability","high reliability","median reliability","high reliability",37.8021978021978,83.0937713894593,0.879120879120879,2.09901893680128,61.3186813186813,14.8072096737394,45.2915735872615,1.2198980576804,-46.5114716449419,"Calhoun","3,687","2,899","66",24,"274","75","329","0",18,"1,628","1,517"
"19027","Carroll County, Iowa",525,144,39,39,474,147,9139,235,165,94,960,157,1038,10264,"median reliability","high reliability","median reliability","high reliability"," low reliability","high reliability",50.5780346820809,89.039360872954,3.75722543352601,1.60756040530008,45.6647398843931,9.35307872174591,38.4613261908731,-2.14966502822593,-36.3116611626472,"Carroll","6,926","5,470","160",46,"518","206","501","1",25,"2,993","2,988"
"19029","Cass County, Iowa",278,109,24,21,436,109,5300,242,80,31,986,175,738,6366,"median reliability","high reliability","median reliability","high reliability","median reliability","high reliability",37.6693766937669,83.2547910775997,3.2520325203252,1.25667609173735,59.0785907859079,15.4885328306629,45.5854143838328,-1.99535642858785,-43.590057955245,"Cass","5,147","4,029","86",24,"361","85","544","0",16,"2,168","2,174"
"19031","Cedar County, Iowa",357,100,23,24,513,151,8443,249,246,102,1153,188,893,9842,"median reliability","high reliability","median reliability","high reliability","median reliability","high reliability",39.9776035834266,85.78540946962,2.57558790593505,2.49949197317618,57.4468085106383,11.7150985572038,45.8078058861934,-0.0760959327588666,-45.7317099534345,"Cedar","6,244","5,114","88",31,"380","67","538","2",24,"2,803","2,569"
"19033","Cerro Gordo County, Iowa",1488,345,145,90,1170,221,18336,563,551,184,2835,375,2803,21722,"high reliability","high reliability","high reliability","high reliability","median reliability","high reliability",53.0859793078844,84.4121167479974,5.1730288976097,2.53659883988583,41.7409917945059,13.0512844121167,31.326137440113,-2.63643005772387,-28.6897073823891,"Cerro Gordo","16,222","12,855","256",92,"1,003","359","1,592","5",60,"6,829","6,871"
"19035","Cherokee County, Iowa",353,131,21,27,157,74,4958,190,125,66,445,134,531,5528,"median reliability","high reliability","median reliability","high reliability"," low reliability","median reliability",66.4783427495292,89.6888567293777,3.95480225988701,2.26121562952243,29.5668549905838,8.04992764109985,23.2105139798485,-1.69358663036458,-21.516927349484,"Cherokee","4,412","3,619","80",14,"292","55","337","0",15,"2,018","1,849"
"19037","Chickasaw County, Iowa",462,112,16,16,259,73,5253,203,106,71,630,114,737,5989,"high reliability","high reliability","median reliability","high reliability"," low reliability","high reliability",62.6865671641791,87.7108031390883,2.17096336499322,1.76991150442478,35.1424694708277,10.5192853564869,25.0242359749092,-0.401051860568437,-24.6231841143408,"Chickasaw","4,123","3,303","71",15,"296","54","367","2",15,"1,855","1,675"
"19039","Clarke County, Iowa",508,158,12,12,551,167,3533,260,62,39,647,130,1071,4242,"median reliability","high reliability","median reliability","high reliability"," low reliability","high reliability",47.4323062558357,83.2861857614333,1.12044817927171,1.46157472890146,51.4472455648926,15.2522395096653,35.8538795055976,0.341126549629753,-36.1950060552274,"Clarke","2,912","2,320","32",9,"181","47","308","1",14,"1,256","1,176"
