"GEOID","ï..County.x","Total","Retired.workers","Spouses","Children","Widow.er.s.and.parents","Children.1","Disabled.workers","Spouses.1","Children.2","Men..above.65.","Women..above.65.","ï..County.y","d2020","Total.disabled.population.of.all.ages.Pct","Total.disabled.population.of.all.ages"
19001,"Adair","2,490","1,961","45",9,"167","46","249","1",12,"1,097","1,013","Muscatine",43235,0.108453799,4689
19003,"Adams","1,321","1,033","20",5,"92","34","131","1",6,"555","555","Adair",7496,0.140074707,1050
19005,"Allamakee","4,806","3,999","93",24,"289","48","342","1",10,"2,259","1,944","Adams",3704,0.137958963,511
19007,"Appanoose","4,563","3,442","72",21,"306","88","611","4",20,"1,908","1,758","O'Brien",14182,0.140671273,1995
19009,"Audubon","2,183","1,747","39",3,"164","17","207","0",6,"1,024","881","Allamakee",14061,0.109593912,1541
19011,"Benton","8,455","6,730","152",29,"495","121","877","3",49,"3,770","3,219","Osceola",6192,0.118540052,734
19013,"Black Hawk","40,672","31,911","749",207,"2,393","791","4,414","9",198,"17,419","16,327","Appanoose",12317,0.18340505,2259
19015,"Boone","8,879","7,066","137",46,"514","187","883","2",43,"3,784","3,613","Audubon",5674,0.124603454,707
19017,"Bremer","8,580","7,155","175",30,"579","124","495","1",20,"4,037","3,601","Page",15211,0.128525409,1955
19019,"Buchanan","6,666","5,238","118",21,"541","128","588","1",30,"2,947","2,732","Benton",25575,0.108191593,2767
19021,"Buena Vista","5,078","4,133","102",21,"332","87","383","1",18,"2,349","2,054","Palo Alto",8996,0.150289017,1352
19023,"Butler","5,539","4,486","120",16,"376","89","425","0",26,"2,673","2,126","Black Hawk",131144,0.130459647,17109
19025,"Calhoun","3,687","2,899","66",24,"274","75","329","0",18,"1,628","1,517","Boone",26715,0.126296088,3374
19027,"Carroll","6,926","5,470","160",46,"518","206","501","1",25,"2,993","2,988","Plymouth",25698,0.116662775,2998
19029,"Cass","5,147","4,029","86",24,"361","85","544","0",16,"2,168","2,174","Bremer",24988,0.109412518,2734
19031,"Cedar","6,244","5,114","88",31,"380","67","538","2",24,"2,803","2,569","Buchanan",20565,0.127400924,2620
