"GEOID","ï..County","Total","Aged","Blind.and.disabled","Under.18","X18â..64","X65.or.older","SSI.recipients.also.receiving.OASDI","Amount.of.payments..thousands.of.dollars..a","County","stateName","state","pop2010","noaa_long","noaa_short","RUCC_2013","OMB_popDivision","igfi_popDivision"
19001,"Adair","93",NA,"","10","71","12","46","48","Adair","Iowa","IA",7682,"Southwest","SW",8,"nonmetropolitan","Non-Metro"
19003,"Adams","62",NA,"","","47","","22","29","Adams","Iowa","IA",4029,"Southwest","SW",9,"nonmetropolitan","Non-Metro"
19005,"Allamakee","150",17,"133","18","97","35","66","74","Allamakee","Iowa","IA",14330,"Northeast","NE",6,"nonmetropolitan","Non-Metro"
19007,"Appanoose","424",29,"395","42","299","83","160","231","Appanoose","Iowa","IA",12887,"South Central","SC",7,"nonmetropolitan","Non-Metro"
19009,"Audubon","75",NA,"","","55","","29","44","Audubon","Iowa","IA",6119,"West Central","WC",8,"nonmetropolitan","Non-Metro"
19011,"Benton","334",15,"319","35","249","50","138","179","Benton","Iowa","IA",26076,"East Central","EC",2,"metropolitan","Metropolitan"
19013,"Black Hawk","3,244",146,"3,098","550","2,236","458","1,021","1,905","Black Hawk","Iowa","IA",131090,"Northeast","NE",3,"metropolitan","Metropolitan"
19015,"Boone","312",11,"301","50","225","37","128","196","Boone","Iowa","IA",26306,"Central","C",6,"metropolitan","Micropolitan"
19017,"Bremer","195",NA,"","36","137","22","70","118","Bremer","Iowa","IA",24276,"Northeast","NE",3,"metropolitan","Metropolitan"
19019,"Buchanan","281",14,"267","40","198","43","101","173","Buchanan","Iowa","IA",20958,"Northeast","NE",6,"nonmetropolitan","Non-Metro"
19021,"Buena Vista","264",41,"223","62","125","77","80","142","Buena Vista","Iowa","IA",20260,"Northwest","NW",7,"micropolitan","Micropolitan"
19023,"Butler","174",13,"161","22","123","29","59","95","Butler","Iowa","IA",14867,"North Central","NC",8,"nonmetropolitan","Non-Metro"
19025,"Calhoun","159",NA,"","15","119","25","63","74","Calhoun","Iowa","IA",9670,"West Central","WC",9,"nonmetropolitan","Non-Metro"
19027,"Carroll","259",13,"246","31","194","34","92","152","Carroll","Iowa","IA",20816,"West Central","WC",7,"nonmetropolitan","Non-Metro"
19029,"Cass","275",NA,"","31","219","25","116","155","Cass","Iowa","IA",13956,"Southwest","SW",6,"nonmetropolitan","Non-Metro"
19031,"Cedar","161",NA,"","32","103","26","61","87","Cedar","Iowa","IA",18499,"East Central","EC",6,"nonmetropolitan","Non-Metro"
19033,"Cerro Gordo","815",38,"777","119","585","111","318","453","Cerro Gordo","Iowa","IA",44151,"North Central","NC",5,"micropolitan","Micropolitan"
19035,"Cherokee","124",NA,"","","96","","46","69","Cherokee","Iowa","IA",12072,"Northwest","NW",6,"nonmetropolitan","Non-Metro"
19037,"Chickasaw","125",NA,"","16","88","21","60","62","Chickasaw","Iowa","IA",12439,"Northeast","NE",6,"nonmetropolitan","Non-Metro"
19039,"Clarke","134",12,"122","19","83","32","61","68","Clarke","Iowa","IA",9286,"South Central","SC",6,"nonmetropolitan","Non-Metro"
19041,"Clay","213",11,"202","44","145","24","73","134","Clay","Iowa","IA",16667,"Northwest","NW",7,"micropolitan","Micropolitan"
19043,"Clayton","220",14,"206","18","163","39","106","114","Clayton","Iowa","IA",18129,"Northeast","NE",8,"nonmetropolitan","Non-Metro"
19045,"Clinton","1,100",34,"1,066","167","803","130","385","647","Clinton","Iowa","IA",49116,"East Central","EC",4,"micropolitan","Micropolitan"
19047,"Crawford","208",24,"184","31","132","45","89","114","Crawford","Iowa","IA",17096,"West Central","WC",7,"nonmetropolitan","Non-Metro"
19049,"Dallas","497",34,"463","76","338","83","154","297","Dallas","Iowa","IA",66135,"Central","C",2,"metropolitan","Metropolitan"
19051,"Davis","132",NA,"","22","88","22","40","72","Davis","Iowa","IA",8753,"Southeast","SE",9,"micropolitan","Micropolitan"
19053,"Decatur","191",16,"175","28","123","40","71","101","Decatur","Iowa","IA",8457,"South Central","SC",9,"nonmetropolitan","Non-Metro"
19055,"Delaware","237",NA,"","22","184","31","97","132","Delaware","Iowa","IA",17764,"Northeast","NE",6,"nonmetropolitan","Non-Metro"
19057,"Des Moines","1,039",43,"996","192","712","135","331","638","Des Moines","Iowa","IA",40325,"Southeast","SE",5,"micropolitan","Micropolitan"
19059,"Dickinson","179",10,"169","16","135","28","87","98","Dickinson","Iowa","IA",16667,"Northwest","NW",7,"micropolitan","Micropolitan"
19061,"Dubuque","1,654",77,"1,577","348","1,091","215","569","970","Dubuque","Iowa","IA",93653,"Northeast","NE",3,"metropolitan","Metropolitan"
