"GEOID","ï..County.x","Total","Aged","Blind.and.disabled","Under.18","X18â..64","X65.or.older","SSI.recipients.also.receiving.OASDI","Amount.of.payments..thousands.of.dollars..a","ï..County.y","d2020","Total.disabled.population.of.all.ages.Pct","Total.disabled.population.of.all.ages"
19001,"Adair","93",NA,"","10","71","12","46","48","Muscatine",43235,0.108453799,4689
19003,"Adams","62",NA,"","","47","","22","29","Adair",7496,0.140074707,1050
19005,"Allamakee","150",17,"133","18","97","35","66","74","Adams",3704,0.137958963,511
19007,"Appanoose","424",29,"395","42","299","83","160","231","O'Brien",14182,0.140671273,1995
19009,"Audubon","75",NA,"","","55","","29","44","Allamakee",14061,0.109593912,1541
19011,"Benton","334",15,"319","35","249","50","138","179","Osceola",6192,0.118540052,734
19013,"Black Hawk","3,244",146,"3,098","550","2,236","458","1,021","1,905","Appanoose",12317,0.18340505,2259
19015,"Boone","312",11,"301","50","225","37","128","196","Audubon",5674,0.124603454,707
19017,"Bremer","195",NA,"","36","137","22","70","118","Page",15211,0.128525409,1955
19019,"Buchanan","281",14,"267","40","198","43","101","173","Benton",25575,0.108191593,2767
19021,"Buena Vista","264",41,"223","62","125","77","80","142","Palo Alto",8996,0.150289017,1352
19023,"Butler","174",13,"161","22","123","29","59","95","Black Hawk",131144,0.130459647,17109
19025,"Calhoun","159",NA,"","15","119","25","63","74","Boone",26715,0.126296088,3374
19027,"Carroll","259",13,"246","31","194","34","92","152","Plymouth",25698,0.116662775,2998
19029,"Cass","275",NA,"","31","219","25","116","155","Bremer",24988,0.109412518,2734
19031,"Cedar","161",NA,"","32","103","26","61","87","Buchanan",20565,0.127400924,2620
19033,"Cerro Gordo","815",38,"777","119","585","111","318","453","Pocahontas",7078,0.137185646,971
19035,"Cherokee","124",NA,"","","96","","46","69","Buena Vista",20823,0.092878068,1934
19037,"Chickasaw","125",NA,"","16","88","21","60","62","Butler",14334,0.114901632,1647
19039,"Clarke","134",12,"122","19","83","32","61","68","Polk",492401,0.10843398,53393
19041,"Clay","213",11,"202","44","145","24","73","134","Calhoun",9927,0.110405964,1096
19043,"Clayton","220",14,"206","18","163","39","106","114","Pottawattamie",93667,0.144031516,13491
19045,"Clinton","1,100",34,"1,066","167","803","130","385","647","Carroll",20760,0.104046243,2160
19047,"Crawford","208",24,"184","31","132","45","89","114","Cass",13127,0.124247734,1631
19049,"Dallas","497",34,"463","76","338","83","154","297","Poweshiek",18662,0.111027757,2072
19051,"Davis","132",NA,"","22","88","22","40","72","Cedar",18505,0.103755742,1920
19053,"Decatur","191",16,"175","28","123","40","71","101","Cerro Gordo",43127,0.135437197,5841
19055,"Delaware","237",NA,"","22","184","31","97","132","Ringgold",4663,0.135106155,630
19057,"Des Moines","1,039",43,"996","192","712","135","331","638","Cherokee",11658,0.10156116,1184
19059,"Dickinson","179",10,"169","16","135","28","87","98","Chickasaw",12012,0.133699634,1606
19061,"Dubuque","1,654",77,"1,577","348","1,091","215","569","970","Clarke",9748,0.173163726,1688
19063,"Emmet","146",12,"134","23","99","24","49","83","Clay",16384,0.149597168,2451
19065,"Fayette","519",24,"495","73","378","68","183","297","Clayton",17043,0.142580532,2430
19067,"Floyd","298",13,"285","51","213","34","112","156","Clinton",46460,0.140464916,6526
19069,"Franklin","103",NA,"","13","69","21","40","55","Crawford",16525,0.154251135,2549
19071,"Fremont","103",NA,"","11","77","15","32","59","Dallas",99678,0.067306728,6709
19073,"Greene","146",NA,"","26","91","29","50","86","Davis",9110,0.113282108,1032
19075,"Grundy","95",NA,"","","67","","30","58","Decatur",7645,0.149771092,1145
19077,"Guthrie","150",NA,"","22","104","24","66","86","Delaware",17488,0.102069991,1785
19079,"Hamilton","188",NA,"","21","145","22","66","121","Des Moines",38910,0.167077872,6501
19081,"Hancock","80",NA,"","13","51","16","32","46","Dickinson",17703,0.141614416,2507
19083,"Hardin","255",16,"239","43","175","37","96","155","Dubuque",99266,0.107881853,10709
19085,"Harrison","257",11,"246","33","189","35","99","151","Emmet",9388,0.160524073,1507
19087,"Henry","307",14,"293","55","210","42","98","182","Fayette",19509,0.156235584,3048
19089,"Howard","112",NA,"","16","80","16","39","68","Floyd",15627,0.157291867,2458
19091,"Humboldt","153",NA,"","28","97","28","72","82","Franklin",10019,0.079449047,796
19093,"Ida","69",NA,"","","46","","27","36","Fremont",6605,0.135503407,895
19095,"Iowa","169",10,"159","21","119","29","75","97","Greene",8771,0.172044237,1509
19097,"Jackson","364",10,"354","61","271","32","116","237","Grundy",12329,0.099034796,1221
19099,"Jasper","580",23,"557","85","425","70","204","337","Sac",9814,0.09934787,975
19101,"Jefferson","343",70,"273","40","196","107","147","184","Guthrie",10623,0.120963946,1285
19103,"Johnson","1,798",135,"1,663","356","1,186","256","573","1,073","Hamilton",15039,0.112175012,1687
19105,"Jones","303",12,"291","51","212","40","116","172","Scott",174669,0.103979527,18162
19107,"Keokuk","204",11,"193","20","159","25","76","108","Hancock",10795,0.135988884,1468
19109,"Kossuth","159",11,"148","17","117","25","63","86","Shelby",11746,0.1131449,1329
19111,"Lee","895",35,"860","115","627","153","320","512","Hardin",16878,0.122052376,2060
19113,"Linn","3,962",229,"3,733","728","2,693","541","1,216","2,422","Harrison",14582,0.121108216,1766
19115,"Louisa","163",NA,"","15","125","23","59","97","Sioux",35872,0.088509144,3175
19117,"Lucas","175",15,"160","15","116","44","69","91","Henry",20482,0.130358363,2670
19119,"Lyon","53",NA,"","","29","","19","27","Howard",9469,0.08818249,835
19121,"Madison","143",NA,"","20","99","24","53","78","Story",98537,0.080893471,7971
19123,"Mahaska","441",27,"414","58","317","66","168","263","Humboldt",9597,0.14056476,1349
19125,"Marion","418",31,"387","55","298","65","141","252","Tama",17135,0.103472425,1773
19127,"Marshall","618",48,"570","86","409","123","229","360","Ida",7005,0.117344754,822
19129,"Mills","210",NA,"","30","162","18","60","105","Iowa",16662,0.113311727,1888
19131,"Mitchell","97",NA,"","10","73","14","38","52","Taylor",5896,0.146031208,861
19133,"Monona","159",NA,"","24","108","27","62","88","Jackson",19485,0.114908904,2239
19135,"Monroe","105",NA,"","18","72","15","33","65","Jasper",37813,0.120276096,4548
19137,"Montgomery","274",NA,"","37","199","38","96","167","Union",12138,0.150436645,1826
19139,"Muscatine","857",39,"818","131","602","124","275","498","Jefferson",15663,0.14997127,2349
19141,"O'Brien","177",NA,"","22","131","24","56","89","Van Buren",7203,0.153963626,1109
19143,"Osceola","48",NA,"","","33","","25","25","Johnson",152854,0.073972549,11307
19145,"Page","352",14,"338","55","235","62","160","187","Jones",20646,0.116535891,2406
19147,"Palo Alto","130",NA,"","26","86","18","43","67","Wapello",35437,0.152806389,5415
19149,"Plymouth","206",12,"194","32","147","27","77","112","Keokuk",10033,0.164756304,1653
19151,"Pocahontas","101",NA,"","11","76","14","32","56","Kossuth",14828,0.166711627,2472
19153,"Polk","8,133",829,"7,304","1,236","5,117","1,780","2,422","4,864","Warren",52403,0.10215064,5353
19155,"Pottawattamie","2,191",65,"2,126","324","1,624","243","758","1,287","Lee",33555,0.148502459,4983
19157,"Poweshiek","214",12,"202","28","153","33","80","122","Washington",22565,0.112031908,2528
19159,"Ringgold","92",NA,"","","65","","36","49","Linn",230299,0.097308282,22410
19161,"Sac","97",16,"81","16","54","27","51","50","Louisa",10837,0.119498016,1295
19163,"Scott","4,020",187,"3,833","768","2,685","567","1,196","2,460","Wayne",6497,0.1414499,919
19165,"Shelby","188",NA,"","28","141","19","69","108","Lucas",8634,0.175353255,1514
19167,"Sioux","191",NA,"","36","134","21","65","104","Lyon",11934,0.106753813,1274
19169,"Story","748",47,"701","146","504","98","233","465","Webster",36999,0.137030731,5070
19171,"Tama","181",12,"169","30","125","26","59","101","Madison",16548,0.095842398,1586
19173,"Taylor","93",10,"83","16","56","21","41","49","Winnebago",10679,0.129787433,1386
19175,"Union","260",12,"248","41","177","42","114","156","Mahaska",22190,0.139837765,3103
19177,"Van Buren","128",NA,"","13","89","26","57","66","Marion",33414,0.143981565,4811
19179,"Wapello","1,076",42,"1,034","137","767","172","406","635","Winneshiek",20070,0.116841056,2345
19181,"Warren","431",16,"415","64","310","57","135","253","Marshall",40105,0.108041391,4333
19183,"Washington","340",20,"320","60","237","43","103","193","Mills",14484,0.146437448,2121
19185,"Wayne","132",NA,"","18","86","28","55","78","Woodbury",105941,0.115866378,12275
19187,"Webster","766",29,"737","85","578","103","287","449","Mitchell",10565,0.120681496,1275
19189,"Winnebago","118",NA,"","16","91","11","48","77","Worth",7443,0.141072148,1050
19191,"Winneshiek","149",11,"138","14","108","27","76","78","Monona",8751,0.149468632,1308
19193,"Woodbury","1,962",112,"1,850","290","1,310","362","721","1,079","Monroe",7577,0.134485944,1019
19195,"Worth","77",NA,"","20","47","10","24","45","Wright",12943,0.131113343,1697
19197,"Wright","171",14,"157","27","117","27","54","91","Montgomery",10330,0.134172314,1386
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA
