"GEOID","ï..County","Total","Retired.workers","Spouses..retirement.","Children..retirement.","Widow.er.s.and.parents..survivors.","Children..survivors.","Disabled.workers","Spouses..disability.","Children..disability.","Men..above.65.","Women..above.65.","County","stateName","state","pop2010","noaa_long","noaa_short","RUCC_2013","OMB_popDivision","igfi_popDivision"
19001,"Adair","1,830","1,345","60",15,"125","45","200",5,"35","670","800","Adair","Iowa","IA",7682,"Southwest","SW",8,"nonmetropolitan","Non-Metro"
19003,"Adams","1,000","740","25",5,"70","35","110",5,"10","365","435","Adams","Iowa","IA",4029,"Southwest","SW",9,"nonmetropolitan","Non-Metro"
19005,"Allamakee","3,600","2,865","125",35,"215","45","280",5,"30","1,445","1,610","Allamakee","Iowa","IA",14330,"Northeast","NE",6,"nonmetropolitan","Non-Metro"
19007,"Appanoose","3,565","2,515","100",35,"240","100","515",10,"50","1,240","1,470","Appanoose","Iowa","IA",12887,"South Central","SC",7,"nonmetropolitan","Non-Metro"
19009,"Audubon","1,615","1,230","50",5,"120","20","175",0,"15","625","730","Audubon","Iowa","IA",6119,"West Central","WC",8,"nonmetropolitan","Non-Metro"
19011,"Benton","5,790","4,300","175",40,"345","125","670",15,"120","2,120","2,400","Benton","Iowa","IA",26076,"East Central","EC",2,"metropolitan","Metropolitan"
19013,"Black Hawk","28,055","19,955","820",275,"1,600","875","3,895",25,"610","9,590","11,695","Black Hawk","Iowa","IA",131090,"Northeast","NE",3,"metropolitan","Metropolitan"
19015,"Boone","6,150","4,575","155",60,"345","200","700",5,"110","2,160","2,665","Boone","Iowa","IA",26306,"Central","C",6,"metropolitan","Micropolitan"
19017,"Bremer","5,675","4,470","195",35,"380","120","395",5,"75","2,180","2,650","Bremer","Iowa","IA",24276,"Northeast","NE",3,"metropolitan","Metropolitan"
19019,"Buchanan","4,635","3,410","140",30,"355","125","490",5,"80","1,680","2,030","Buchanan","Iowa","IA",20958,"Northeast","NE",6,"nonmetropolitan","Non-Metro"
19021,"Buena Vista","3,670","2,795","130",30,"230","95","335",5,"50","1,375","1,630","Buena Vista","Iowa","IA",20260,"Northwest","NW",7,"micropolitan","Micropolitan"
19023,"Butler","3,940","3,010","150",25,"260","95","340",0,"60","1,540","1,725","Butler","Iowa","IA",14867,"North Central","NC",8,"nonmetropolitan","Non-Metro"
19025,"Calhoun","2,700","1,985","80",45,"195","75","275",0,"45","975","1,195","Calhoun","Iowa","IA",9670,"West Central","WC",9,"nonmetropolitan","Non-Metro"
19027,"Carroll","5,010","3,650","205",65,"360","200","445",5,"80","1,760","2,305","Carroll","Iowa","IA",20816,"West Central","WC",7,"nonmetropolitan","Non-Metro"
19029,"Cass","3,815","2,770","100",40,"255","100","495",0,"55","1,310","1,690","Cass","Iowa","IA",13956,"Southwest","SW",6,"nonmetropolitan","Non-Metro"
19031,"Cedar","4,255","3,315","105",40,"265","70","395",5,"60","1,610","1,895","Cedar","Iowa","IA",18499,"East Central","EC",6,"nonmetropolitan","Non-Metro"
19033,"Cerro Gordo","11,650","8,560","295",130,"685","390","1,390",15,"185","3,990","5,180","Cerro Gordo","Iowa","IA",44151,"North Central","NC",5,"micropolitan","Micropolitan"
19035,"Cherokee","3,090","2,400","95",20,"195","55","285",0,"40","1,170","1,415","Cherokee","Iowa","IA",12072,"Northwest","NW",6,"nonmetropolitan","Non-Metro"
19037,"Chickasaw","2,945","2,220","95",25,"210","60","295",5,"35","1,100","1,315","Chickasaw","Iowa","IA",12439,"Northeast","NE",6,"nonmetropolitan","Non-Metro"
19039,"Clarke","2,230","1,680","45",15,"140","55","250",5,"40","805","965","Clarke","Iowa","IA",9286,"South Central","SC",6,"nonmetropolitan","Non-Metro"
19041,"Clay","4,195","3,200","110",30,"260","80","445",0,"70","1,560","1,885","Clay","Iowa","IA",16667,"Northwest","NW",7,"micropolitan","Micropolitan"
19043,"Clayton","4,885","3,705","165",40,"330","125","455",5,"60","1,870","2,115","Clayton","Iowa","IA",18129,"Northeast","NE",8,"nonmetropolitan","Non-Metro"
19045,"Clinton","11,570","8,275","290",125,"735","355","1,545",20,"225","3,865","4,895","Clinton","Iowa","IA",49116,"East Central","EC",4,"micropolitan","Micropolitan"
19047,"Crawford","3,550","2,565","140",45,"240","90","410",0,"60","1,300","1,510","Crawford","Iowa","IA",17096,"West Central","WC",7,"nonmetropolitan","Non-Metro"
19049,"Dallas","13,330","10,325","430",110,"705","335","1,170",10,"245","4,695","6,235","Dallas","Iowa","IA",66135,"Central","C",2,"metropolitan","Metropolitan"
19051,"Davis","1,835","1,355","65",15,"120","55","190",0,"35","665","800","Davis","Iowa","IA",8753,"Southeast","SE",9,"micropolitan","Micropolitan"
19053,"Decatur","1,870","1,375","65",20,"110","50","225",0,"25","695","790","Decatur","Iowa","IA",8457,"South Central","SC",9,"nonmetropolitan","Non-Metro"
19055,"Delaware","3,950","2,940","160",30,"285","80","375",5,"75","1,495","1,705","Delaware","Iowa","IA",17764,"Northeast","NE",6,"nonmetropolitan","Non-Metro"
19057,"Des Moines","9,890","7,220","235",90,"550","285","1,305",10,"195","3,350","4,275","Des Moines","Iowa","IA",40325,"Southeast","SE",5,"micropolitan","Micropolitan"
19059,"Dickinson","5,450","4,445","160",40,"310","85","360",5,"45","2,130","2,565","Dickinson","Iowa","IA",16667,"Northwest","NW",7,"micropolitan","Micropolitan"
19061,"Dubuque","21,985","16,395","655",215,"1,345","560","2,395",20,"400","7,695","9,855","Dubuque","Iowa","IA",93653,"Northeast","NE",3,"metropolitan","Metropolitan"
19063,"Emmet","2,435","1,815","75",20,"165","60","260",0,"40","900","1,075","Emmet","Iowa","IA",10302,"Northwest","NW",7,"nonmetropolitan","Non-Metro"
19065,"Fayette","5,115","3,720","180",35,"355","150","575",5,"95","1,830","2,230","Fayette","Iowa","IA",20880,"Northeast","NE",6,"nonmetropolitan","Non-Metro"
19067,"Floyd","4,115","2,980","110",65,"260","145","475",5,"75","1,445","1,770","Floyd","Iowa","IA",16303,"North Central","NC",7,"nonmetropolitan","Non-Metro"
19069,"Franklin","2,450","1,880","70",30,"135","60","230",0,"45","930","1,080","Franklin","Iowa","IA",10680,"North Central","NC",7,"nonmetropolitan","Non-Metro"
19071,"Fremont","1,840","1,420","40",15,"80","45","200",5,"35","685","790","Fremont","Iowa","IA",7441,"Southwest","SW",8,"nonmetropolitan","Non-Metro"
19073,"Greene","2,440","1,835","80",15,"150","60","260",0,"40","895","1,090","Greene","Iowa","IA",9336,"West Central","WC",6,"nonmetropolitan","Non-Metro"
19075,"Grundy","3,025","2,360","85",20,"205","55","250",5,"45","1,130","1,410","Grundy","Iowa","IA",12453,"Central","C",3,"metropolitan","Metropolitan"
19077,"Guthrie","3,045","2,360","75",30,"190","60","280",0,"50","1,150","1,345","Guthrie","Iowa","IA",10954,"West Central","WC",2,"metropolitan","Metropolitan"
19079,"Hamilton","3,550","2,665","95",25,"245","100","360",0,"60","1,260","1,605","Hamilton","Iowa","IA",15673,"Central","C",6,"nonmetropolitan","Non-Metro"
19081,"Hancock","2,670","2,070","90",10,"180","35","240",5,"40","1,040","1,215","Hancock","Iowa","IA",11341,"North Central","NC",7,"nonmetropolitan","Non-Metro"
19083,"Hardin","4,315","3,305","125",15,"285","105","425",0,"55","1,550","2,005","Hardin","Iowa","IA",17534,"Central","C",6,"nonmetropolitan","Non-Metro"
19085,"Harrison","3,435","2,495","80",35,"220","115","415",5,"70","1,220","1,415","Harrison","Iowa","IA",14928,"West Central","WC",2,"metropolitan","Metropolitan"
19087,"Henry","4,640","3,500","105",40,"255","110","545",0,"85","1,605","2,090","Henry","Iowa","IA",20145,"Southeast","SE",6,"nonmetropolitan","Non-Metro"
19089,"Howard","2,290","1,735","85",10,"180","50","210",0,"20","880","1,030","Howard","Iowa","IA",9566,"Northeast","NE",6,"nonmetropolitan","Non-Metro"
19091,"Humboldt","2,305","1,705","80",20,"175","50","230",5,"40","850","1,035","Humboldt","Iowa","IA",9815,"North Central","NC",7,"nonmetropolitan","Non-Metro"
19093,"Ida","1,710","1,285","65",10,"145","40","150",0,"15","650","795","Ida","Iowa","IA",7089,"West Central","WC",8,"nonmetropolitan","Non-Metro"
19095,"Iowa","3,825","2,980","80",20,"205","80","385",5,"70","1,400","1,690","Iowa","Iowa","IA",16355,"East Central","EC",6,"nonmetropolitan","Non-Metro"
19097,"Jackson","5,155","3,745","150",90,"310","205","570",5,"80","1,855","2,100","Jackson","Iowa","IA",19848,"East Central","EC",6,"nonmetropolitan","Non-Metro"
19099,"Jasper","8,825","6,445","220",80,"460","295","1,155",15,"155","3,040","3,710","Jasper","Iowa","IA",36842,"Central","C",6,"micropolitan","Micropolitan"
19101,"Jefferson","4,555","3,540","200",45,"210","100","390",5,"65","1,830","1,955","Jefferson","Iowa","IA",16843,"Southeast","SE",7,"micropolitan","Micropolitan"
19103,"Johnson","21,400","16,300","665",290,"910","650","2,250",15,"320","7,680","9,515","Johnson","Iowa","IA",130882,"East Central","EC",3,"metropolitan","Metropolitan"
19105,"Jones","5,000","3,785","150",45,"295","110","525",10,"80","1,885","2,155","Jones","Iowa","IA",20638,"East Central","EC",2,"metropolitan","Metropolitan"
19107,"Keokuk","2,615","1,910","75",30,"165","70","310",0,"55","970","1,095","Keokuk","Iowa","IA",10511,"Southeast","SE",8,"nonmetropolitan","Non-Metro"
19109,"Kossuth","4,125","3,200","135",25,"295","95","335",0,"40","1,595","1,925","Kossuth","Iowa","IA",15543,"North Central","NC",7,"nonmetropolitan","Non-Metro"
19111,"Lee","8,870","6,425","220",70,"515","255","1,195",10,"180","3,035","3,770","Lee","Iowa","IA",35862,"Southeast","SE",5,"micropolitan","Micropolitan"
19113,"Linn","44,485","33,350","1,190",450,"2,285","1,165","5,185",40,"820","15,350","19,675","Linn","Iowa","IA",211226,"East Central","EC",2,"metropolitan","Metropolitan"
19115,"Louisa","2,485","1,855","70",20,"140","60","295",0,"45","905","1,055","Louisa","Iowa","IA",11387,"Southeast","SE",8,"nonmetropolitan","Non-Metro"
