GEO_ID,NAME,B18101_001E,B18101_001M,B18101_002E,B18101_002M,B18101_003E,B18101_003M,B18101_004E,B18101_004M,B18101_005E,B18101_005M,B18101_006E,B18101_006M,B18101_007E,B18101_007M,B18101_008E,B18101_008M,,,,,,,,,B18101_009E,B18101_009M,B18101_010E,B18101_010M,B18101_011E,B18101_011M,B18101_012E,B18101_012M,B18101_013E,B18101_013M,B18101_014E,B18101_014M,B18101_015E,B18101_015M,B18101_016E,B18101_016M,B18101_017E,B18101_017M,B18101_018E,B18101_018M,B18101_019E,B18101_019M,B18101_020E,B18101_020M,B18101_021E,B18101_021M,B18101_022E,B18101_022M,B18101_023E,B18101_023M,B18101_024E,B18101_024M,B18101_025E,B18101_025M,B18101_026E,B18101_026M,B18101_027E,B18101_027M,B18101_028E,B18101_028M,B18101_029E,B18101_029M,B18101_030E,B18101_030M,B18101_031E,B18101_031M,B18101_032E,B18101_032M,B18101_033E,B18101_033M,B18101_034E,B18101_034M,B18101_035E,B18101_035M,B18101_036E,B18101_036M,B18101_037E,B18101_037M,B18101_038E,B18101_038M,B18101_039E,B18101_039M
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!Under 5 years:,Margin of Error!!Total:!!Male:!!Under 5 years:,Estimate!!Total:!!Male:!!Under 5 years:!!With a disability,Margin of Error!!Total:!!Male:!!Under 5 years:!!With a disability,Estimate!!Total:!!Male:!!Under 5 years:!!No disability,Margin of Error!!Total:!!Male:!!Under 5 years:!!No disability,Estimate!!Total:!!Male:!!5 to 17 years:,Margin of Error!!Total:!!Male:!!5 to 17 years:,Estimate!!Total:!!Male:!!5 to 17 years:!!With a disability,Margin of Error!!Total:!!Male:!!5 to 17 years:!!With a disability,Estimate!!Total:!!Male:!!5 to 17 years:!!No disability,Margin of Error!!Total:!!Male:!!5 to 17 years:!!No disability,total ,total disabled ,total no dis,total 18-34,dis 18-34,total 35-64,non dis 18-34,dis 35-64,Estimate!!Total:!!Male:!!18 to 34 years:,Margin of Error!!Total:!!Male:!!18 to 34 years:,Estimate!!Total:!!Male:!!18 to 34 years:!!With a disability,Margin of Error!!Total:!!Male:!!18 to 34 years:!!With a disability,Estimate!!Total:!!Male:!!18 to 34 years:!!No disability,Margin of Error!!Total:!!Male:!!18 to 34 years:!!No disability,Estimate!!Total:!!Male:!!35 to 64 years:,Margin of Error!!Total:!!Male:!!35 to 64 years:,Estimate!!Total:!!Male:!!35 to 64 years:!!With a disability,Margin of Error!!Total:!!Male:!!35 to 64 years:!!With a disability,Estimate!!Total:!!Male:!!35 to 64 years:!!No disability,Margin of Error!!Total:!!Male:!!35 to 64 years:!!No disability,Estimate!!Total:!!Male:!!65 to 74 years:,Margin of Error!!Total:!!Male:!!65 to 74 years:,Estimate!!Total:!!Male:!!65 to 74 years:!!With a disability,Margin of Error!!Total:!!Male:!!65 to 74 years:!!With a disability,Estimate!!Total:!!Male:!!65 to 74 years:!!No disability,Margin of Error!!Total:!!Male:!!65 to 74 years:!!No disability,Estimate!!Total:!!Male:!!75 years and over:,Margin of Error!!Total:!!Male:!!75 years and over:,Estimate!!Total:!!Male:!!75 years and over:!!With a disability,Margin of Error!!Total:!!Male:!!75 years and over:!!With a disability,Estimate!!Total:!!Male:!!75 years and over:!!No disability,Margin of Error!!Total:!!Male:!!75 years and over:!!No disability,Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!Under 5 years:,Margin of Error!!Total:!!Female:!!Under 5 years:,Estimate!!Total:!!Female:!!Under 5 years:!!With a disability,Margin of Error!!Total:!!Female:!!Under 5 years:!!With a disability,Estimate!!Total:!!Female:!!Under 5 years:!!No disability,Margin of Error!!Total:!!Female:!!Under 5 years:!!No disability,Estimate!!Total:!!Female:!!5 to 17 years:,Margin of Error!!Total:!!Female:!!5 to 17 years:,Estimate!!Total:!!Female:!!5 to 17 years:!!With a disability,Margin of Error!!Total:!!Female:!!5 to 17 years:!!With a disability,Estimate!!Total:!!Female:!!5 to 17 years:!!No disability,Margin of Error!!Total:!!Female:!!5 to 17 years:!!No disability,Estimate!!Total:!!Female:!!18 to 34 years:,Margin of Error!!Total:!!Female:!!18 to 34 years:,Estimate!!Total:!!Female:!!18 to 34 years:!!With a disability,Margin of Error!!Total:!!Female:!!18 to 34 years:!!With a disability,Estimate!!Total:!!Female:!!18 to 34 years:!!No disability,Margin of Error!!Total:!!Female:!!18 to 34 years:!!No disability,Estimate!!Total:!!Female:!!35 to 64 years:,Margin of Error!!Total:!!Female:!!35 to 64 years:,Estimate!!Total:!!Female:!!35 to 64 years:!!With a disability,Margin of Error!!Total:!!Female:!!35 to 64 years:!!With a disability,Estimate!!Total:!!Female:!!35 to 64 years:!!No disability,Margin of Error!!Total:!!Female:!!35 to 64 years:!!No disability,Estimate!!Total:!!Female:!!65 to 74 years:,Margin of Error!!Total:!!Female:!!65 to 74 years:,Estimate!!Total:!!Female:!!65 to 74 years:!!With a disability,Margin of Error!!Total:!!Female:!!65 to 74 years:!!With a disability,Estimate!!Total:!!Female:!!65 to 74 years:!!No disability,Margin of Error!!Total:!!Female:!!65 to 74 years:!!No disability,Estimate!!Total:!!Female:!!75 years and over:,Margin of Error!!Total:!!Female:!!75 years and over:,Estimate!!Total:!!Female:!!75 years and over:!!With a disability,Margin of Error!!Total:!!Female:!!75 years and over:!!With a disability,Estimate!!Total:!!Female:!!75 years and over:!!No disability,Margin of Error!!Total:!!Female:!!75 years and over:!!No disability
0500000US19001,"Adair County, Iowa",6912,81,3452,57,217,7,0,14,217,7,549,14,40,27,509,31,3954,559,3395,1263,94,2691,1169,465,679,30,38,22,641,39,1337,21,208,64,1129,69,382,8,85,29,297,29,288,33,128,35,160,40,3460,79,185,13,0,14,185,13,556,16,25,15,531,22,584,16,56,26,528,28,1354,41,257,55,1097,66,381,14,62,26,319,31,400,64,151,49,249,65
0500000US19003,"Adams County, Iowa",3573,55,1764,35,111,6,0,10,111,6,267,3,0,10,267,3,2027,196,1831,638,51,1389,587,145,323,17,44,25,279,31,693,14,81,27,612,32,216,13,59,23,157,26,154,19,80,24,74,27,1809,33,104,9,0,10,104,9,265,2,1,2,264,3,315,19,7,8,308,21,696,23,64,24,632,29,227,20,50,27,177,20,202,19,125,26,77,26
0500000US19005,"Allamakee County, Iowa",13497,100,6794,95,445,23,0,16,445,23,1184,30,41,30,1143,46,7386,576,6810,2335,161,5051,2174,415,1242,45,93,48,1149,65,2525,54,223,83,2302,92,855,8,169,52,686,53,543,45,238,69,305,82,6703,96,462,27,0,16,462,27,1091,33,30,29,1061,44,1093,37,68,48,1025,63,2526,74,192,68,2334,95,836,32,103,45,733,54,695,62,384,89,311,75
0500000US19007,"Appanoose County, Iowa",12364,24,6040,64,330,16,0,16,330,16,1071,44,92,49,979,62,6767,1018,5749,2070,122,4697,1948,896,1019,30,29,30,990,42,2317,56,425,107,1892,99,735,13,173,67,562,67,568,37,290,67,278,62,6324,62,341,27,0,16,341,27,1037,50,149,83,888,96,1051,50,93,51,958,72,2380,60,471,123,1909,138,810,16,142,54,668,56,705,41,395,76,310,67
0500000US19009,"Audubon County, Iowa",5407,63,2709,40,202,9,0,14,202,9,436,9,13,11,423,15,3001,352,2649,861,42,2140,819,310,418,19,15,15,403,24,1077,14,154,52,923,51,323,6,70,25,253,25,253,28,84,36,169,32,2698,65,143,14,0,14,143,14,367,15,2,3,365,16,443,9,27,26,416,29,1063,12,156,48,907,48,336,10,46,20,290,22,346,56,140,59,206,60
0500000US19011,"Benton County, Iowa",25318,88,12684,64,824,39,0,18,824,39,2201,36,58,28,2143,46,14853,1168,13685,4422,273,10431,4149,895,2339,39,123,59,2216,64,5184,42,459,109,4725,116,1234,13,277,80,957,80,902,29,377,82,525,85,12634,91,761,29,1,2,760,29,2184,42,94,61,2090,44,2083,44,150,70,1933,80,5247,48,436,128,4811,137,1256,19,300,82,956,83,1103,55,492,108,611,108
0500000US19013,"Black Hawk County, Iowa",130575,232,63831,235,4142,98,67,57,4075,112,10285,79,704,186,9581,182,80936,8729,72207,36376,2285,44560,34091,6444,18069,273,1074,209,16995,359,21968,213,3037,366,18931,380,5757,111,1666,241,4091,268,3610,89,1657,190,1953,179,66744,194,4158,123,12,20,4146,125,9934,91,728,211,9206,217,18307,115,1211,255,17096,276,22592,111,3407,356,19185,372,6347,68,1452,263,4895,271,5406,87,2094,266,3312,259
0500000US19015,"Boone County, Iowa",25998,143,12996,146,698,43,0,18,698,43,2168,123,128,60,2040,141,15840,1661,14179,5244,426,10596,4818,1235,2649,69,307,122,2342,124,5336,59,632,167,4704,184,1369,21,336,106,1033,102,776,35,367,73,409,71,13002,144,756,63,0,18,756,63,1959,62,54,51,1905,76,2595,77,119,87,2476,123,5260,75,603,176,4657,196,1403,21,287,82,1116,81,1029,81,541,104,488,101
0500000US19017,"Bremer County, Iowa",24703,128,12247,132,773,57,0,18,773,57,2095,64,202,78,1893,74,14410,1104,13306,5460,303,8950,5157,801,2683,73,101,45,2582,85,4488,99,364,98,4124,137,1279,48,259,75,1020,69,929,45,378,71,551,65,12456,131,684,32,27,41,657,51,2005,57,142,66,1863,87,2777,91,202,83,2575,124,4462,38,437,112,4025,117,1321,25,159,44,1162,50,1207,102,463,94,744,116
0500000US19019,"Buchanan County, Iowa",20928,83,10394,106,738,43,13,16,725,47,2070,55,145,62,1925,75,11649,1108,10541,3782,242,7867,3540,866,1944,67,129,61,1815,91,3890,31,466,87,3424,88,1072,90,276,105,796,74,680,20,366,69,314,67,10534,103,725,59,0,18,725,59,2062,100,51,26,2011,104,1838,48,113,66,1725,84,3977,56,400,100,3577,109,1086,20,216,59,870,60,846,49,445,83,401,84
