"GEO.id","GEO.display-label","countyFIPS5","county","stateFIPS","state","stateName","d2020","d2010","d2000","d1990","d1980","d1970","d1960","d1950","d1940","d1930","d1920","d1910","d1900","d1890","d1880","d1870","d1860","d1850","d1840","e1969","e1970","e1971","e1972","e1973","e1974","e1975","e1976","e1977","e1978","e1979","e1980","e1981","e1982","e1983","e1984","e1985","e1986","e1987","e1988","e1989","e1990","e1991","e1992","e1993","e1994","e1995","e1996","e1997","e1998","e1999","e2000","e2001","e2002","e2003","e2004","e2005","e2006","e2007","e2008","e2009","ebase2010","e2010","e2011","e2012","e2013","e2014","e2015","e2016","e2017","e2018","e2019"
"0500000US01001","Autauga County, Alabama","01001","Autauga","01","AL","Alabama",,"54571","43671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54574","54754","55208","54936","54713","54876","54838","55242","55443","55601",
"0500000US01003","Baldwin County, Alabama","01003","Baldwin","01","AL","Alabama",,"182265","140415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"182264","183111","186540","190143","194886","199189","202995","207712","212619","218022",
"0500000US01005","Barbour County, Alabama","01005","Barbour","01","AL","Alabama",,"27457","29038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27457","27330","27350","27174","26944","26758","26294","25819","25158","24881",
"0500000US01007","Bibb County, Alabama","01007","Bibb","01","AL","Alabama",,"22915","20826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22920","22872","22747","22664","22516","22541","22562","22576","22555","22400",
"0500000US01009","Blount County, Alabama","01009","Blount","01","AL","Alabama",,"57322","51024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57321","57373","57554","57570","57611","57521","57522","57517","57827","57840",
"0500000US01011","Bullock County, Alabama","01011","Bullock","01","AL","Alabama",,"10914","11714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10911","10878","10677","10607","10551","10665","10400","10381","10176","10138",
"0500000US01013","Butler County, Alabama","01013","Butler","01","AL","Alabama",,"20947","21399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20943","20942","20878","20687","20374","20343","20176","20029","19898","19680",
"0500000US01015","Calhoun County, Alabama","01015","Calhoun","01","AL","Alabama",,"118572","112249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118594","118477","117797","117257","116541","115995","115536","115018","114664","114277",
"0500000US01017","Chambers County, Alabama","01017","Chambers","01","AL","Alabama",,"34215","36583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34171","34122","34030","34104","34143","33980","34007","33771","33758","33615",
"0500000US01019","Cherokee County, Alabama","01019","Cherokee","01","AL","Alabama",,"25989","23988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25989","25974","25994","25963","26025","25902","25739","25776","25815","26032",
